# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.00728985,-1.36374841,4.19829191,5.37880003,3.69359074
300.00000000,0.00739001,-1.36850142,4.19353890,5.41562639,3.71654020
300.00000000,0.00749252,-1.37324991,4.18879042,5.45305841,3.73996642
300.00000000,0.00759748,-1.37799388,4.18404644,5.49112232,3.76385080
300.00000000,0.00770499,-1.38273309,4.17930723,5.52983591,3.78818969
300.00000000,0.00781508,-1.38746696,4.17457336,5.56920140,3.81300545
300.00000000,0.00792778,-1.39219489,4.16984543,5.60921332,3.83824541
300.00000000,0.00804309,-1.39691627,4.16512405,5.64985896,3.86390577
300.00000000,0.00816100,-1.40163047,4.16040985,5.69112143,3.89002048
300.00000000,0.00828150,-1.40633683,4.15570350,5.73298442,3.91660020
300.00000000,0.00840460,-1.41103463,4.15100570,5.77543538,3.94360153
300.00000000,0.00853031,-1.41572313,4.14631719,5.81846653,3.97098338
300.00000000,0.00865865,-1.42040155,4.14163877,5.86207467,3.99874296
300.00000000,0.00878967,-1.42506908,4.13697124,5.90626025,4.02692502
300.00000000,0.00892342,-1.42972488,4.13231545,5.95102621,4.05550007
300.00000000,0.00905994,-1.43436805,4.12767227,5.99637692,4.08454125
300.00000000,0.00919930,-1.43899768,4.12304264,6.04231751,4.11405258
300.00000000,0.00934154,-1.44361281,4.11842752,6.08885341,4.14399977
300.00000000,0.00948674,-1.44821242,4.11382790,6.13599001,4.17433748
300.00000000,0.00963494,-1.45279545,4.10924487,6.18373244,4.20506887
300.00000000,0.00978620,-1.45736079,4.10467953,6.23208534,4.23622693
300.00000000,0.00994060,-1.46190725,4.10013307,6.28105268,4.26780861
300.00000000,0.01009816,-1.46643360,4.09560672,6.33063761,4.29983008
300.00000000,0.01025896,-1.47093854,4.09110178,6.38084232,4.33234188
300.00000000,0.01042305,-1.47542073,4.08661959,6.43166785,4.36531217
300.00000000,0.01059046,-1.47987877,4.08216155,6.48311394,4.39873846
300.00000000,0.01076124,-1.48431119,4.07772913,6.53517875,4.43277841
300.00000000,0.01093543,-1.48871650,4.07332382,6.58785868,4.46750884
300.00000000,0.01111307,-1.49309316,4.06894716,6.64114833,4.50269308
300.00000000,0.01129416,-1.49743958,4.06460074,6.69504049,4.53831944
300.00000000,0.01147874,-1.50175411,4.06028622,6.74952621,4.57434261
300.00000000,0.01166681,-1.50603506,4.05600526,6.80459481,4.61075729
300.00000000,0.01185838,-1.51028071,4.05175961,6.86023372,4.64755700
300.00000000,0.01205345,-1.51448929,4.04755103,6.91642829,4.68473806
300.00000000,0.01225200,-1.51865898,4.04338134,6.97316149,4.72230563
300.00000000,0.01245401,-1.52278793,4.03925239,7.03041362,4.76022986
300.00000000,0.01265945,-1.52687427,4.03516605,7.08816203,4.79849762
300.00000000,0.01286826,-1.53091612,4.03112420,7.14638084,4.83709650
300.00000000,0.01308038,-1.53491158,4.02712875,7.20504072,4.87602667
300.00000000,0.01329573,-1.53885872,4.02318160,7.26410870,4.91537660
300.00000000,0.01351421,-1.54275567,4.01928465,7.32354794,4.95507144
300.00000000,0.01373569,-1.54660054,4.01543978,7.38331761,4.99523006
300.00000000,0.01396005,-1.55039147,4.01164885,7.44337273,5.03560609
300.00000000,0.01418712,-1.55412666,4.00791366,7.50366406,5.07616847
