# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.25338811,-0.41121358,5.15082674,31.71168825,23.95461712
300.00000000,0.25042131,-0.43271901,5.12932131,31.52549273,23.89700627
300.00000000,0.24703738,-0.45580179,5.10623854,31.31176699,23.80985174
300.00000000,0.24315448,-0.48078839,5.08125193,31.06471550,23.69662181
300.00000000,0.23872839,-0.50780993,5.05423039,30.78068480,23.54394638
300.00000000,0.23376259,-0.53677461,5.02526572,30.45886707,23.35513655
300.00000000,0.22829687,-0.56743284,4.99460748,30.10067392,23.13877110
300.00000000,0.22241844,-0.59933365,4.96270667,29.71061484,22.90138819
300.00000000,0.21625698,-0.63185603,4.93018429,29.29620155,22.63482617
300.00000000,0.20995886,-0.66433049,4.89770983,28.86644796,22.35380950
300.00000000,0.20365736,-0.69616930,4.86587102,28.42996351,22.04901492
300.00000000,0.19744334,-0.72698766,4.83505266,27.99287365,21.73220035
300.00000000,0.19135238,-0.75664786,4.80539246,27.55771354,21.38803220
300.00000000,0.18537774,-0.78519448,4.77684584,27.12408147,20.98793585
300.00000000,0.17950420,-0.81270711,4.74933321,26.69092029,20.56711034
300.00000000,0.17374698,-0.83914058,4.72289974,26.25940446,20.13051767
300.00000000,0.16816950,-0.86425965,4.69778067,25.83448780,19.67267554
300.00000000,0.16286589,-0.88771898,4.67432134,25.42384985,19.24043977
300.00000000,0.15792317,-0.90921907,4.65282125,25.03509056,18.80062236
300.00000000,0.15338598,-0.92864222,4.63339810,24.67283605,18.37858145
300.00000000,0.14924191,-0.94610060,4.61593972,24.33725788,18.00075450
300.00000000,0.14543243,-0.96188222,4.60015810,24.02463889,17.66056458
300.00000000,0.14187989,-0.97633828,4.58570205,23.72939481,17.33397161
300.00000000,0.13851527,-0.98977444,4.57226588,23.44634083,17.02545978
300.00000000,0.13529396,-1.00239334,4.55964698,23.17210285,16.73928333
300.00000000,0.13219553,-1.01430009,4.54774023,22.90522836,16.48219805
300.00000000,0.12955580,-1.02425586,4.53778446,22.67538511,16.28074330
300.00000000,0.12730849,-1.03258064,4.52945968,22.47785827,16.10949144
300.00000000,0.12542196,-1.03941097,4.52262935,22.31069172,15.96441513
300.00000000,0.12404115,-1.04433435,4.51770597,22.18753951,15.85743922
300.00000000,0.12255305,-1.04958626,4.51245406,22.05404760,15.75050735
300.00000000,0.12098303,-1.05507055,4.50696977,21.91232522,15.63727484
300.00000000,0.11950528,-1.06015796,4.50188237,21.77808973,15.52797803
300.00000000,0.11825789,-1.06439262,4.49764770,21.66413274,15.43438221
300.00000000,0.11690852,-1.06894425,4.49309607,21.54017969,15.33163769
300.00000000,0.11548156,-1.07372987,4.48831045,21.40831915,15.22295631
300.00000000,0.11398668,-1.07871403,4.48332629,21.26930458,15.10774254
300.00000000,0.11242871,-1.08387877,4.47816155,21.12345051,14.98831491
300.00000000,0.11081045,-1.08921444,4.47282588,20.97087759,14.86356501
300.00000000,0.10913341,-1.09471663,4.46732369,20.81158286,14.73364832
300.00000000,0.10739840,-1.10038318,4.46165714,20.64548794,14.59839855
300.00000000,0.10571614,-1.10584852,4.45619180,20.48315672,14.46967816
300.00000000,0.10455592,-1.10956585,4.45247447,20.37044742,14.38246883
300.00000000,0.10329609,-1.11361124,4.44842908,20.24735007,14.29087458
300.00000000,0.10195436,-1.11792492,4.44411540,20.11542145,14.19470358
300.00000000,0.10054410,-1.12246143,4.43957889,19.97581600,14.09382557
300.00000000,0.09907717,-1.12718105,4.43485927,19.82955858,13.98728288
300.00000000,0.09756501,-1.13204611,4.42999421,19.67765257,13.88373223
300.00000000,0.09601906,-1.13701967,4.42502065,19.52113114,13.77982735
300.00000000,0.09445097,-1.14206480,4.41997552,19.36107442,13.67734251
300.00000000,0.09287240,-1.14714502,4.41489530,19.19860065,13.57096323
300.00000000,0.09129468,-1.15222766,4.40981266,19.03482948,13.46522739
300.00000000,0.09010681,-1.15610202,4.40593830,18.91058874,13.39328914
300.00000000,0.08911131,-1.15939793,4.40264239,18.80583619,13.33423255
300.00000000,0.08815690,-1.16259529,4.39944503,18.70485759,13.27512877
300.00000000,0.08718771,-1.16586691,4.39617341,18.60175370,13.21333945
300.00000000,0.08612672,-1.16944866,4.39259166,18.48822458,13.14309134
300.00000000,0.08509128,-1.17297591,4.38906441,18.37675225,13.07445166
300.00000000,0.08412304,-1.17632222,4.38571810,18.27190085,13.01042874
300.00000000,0.08312169,-1.17979413,4.38224619,18.16282623,12.94113194
300.00000000,0.08210372,-1.18334541,4.37869491,18.05126568,12.86934160
300.00000000,0.08128816,-1.18630827,4.37573205,17.96138757,12.81189154
300.00000000,0.08054234,-1.18909604,4.37294428,17.87879982,12.75806558
300.00000000,0.07984270,-1.19177718,4.37026314,17.80097713,12.70462633
300.00000000,0.07907092,-1.19470257,4.36733775,17.71473428,12.64271344
300.00000000,0.07834372,-1.19752010,4.36452022,17.63308603,12.58310516
300.00000000,0.07777509,-1.19989228,4.36214804,17.56897776,12.53509688
300.00000000,0.07727572,-1.20208309,4.35995723,17.51248496,12.49201361
300.00000000,0.07676627,-1.20432744,4.35771288,17.45466271,12.44936899
300.00000000,0.07625237,-1.20660756,4.35543276,17.39614058,12.40553290
300.00000000,0.07573905,-1.20890786,4.35313246,17.33748835,12.36106655
300.00000000,0.07523086,-1.21121385,4.35082647,17.27922517,12.31681153
300.00000000,0.07473184,-1.21351289,4.34852743,17.22182112,12.27307562
