# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.08225720,-1.22446292,4.33757740,18.06813012,12.60935138
300.00000000,0.08168107,-1.22817164,4.33386869,18.00474397,12.55853390
300.00000000,0.08109939,-1.23188960,4.33015072,17.94052039,12.50706670
300.00000000,0.08051600,-1.23558554,4.32645478,17.87587671,12.45525376
300.00000000,0.07993324,-1.23923151,4.32280881,17.81106759,12.40680937
300.00000000,0.07935383,-1.24279739,4.31924293,17.74639649,12.35860637
300.00000000,0.07878004,-1.24625816,4.31578216,17.68212032,12.31125689
300.00000000,0.07821339,-1.24959957,4.31244075,17.61841406,12.26684730
300.00000000,0.07765471,-1.25282073,4.30921959,17.55537672,12.22304894
300.00000000,0.07710420,-1.25593378,4.30610654,17.49303843,12.18056467
300.00000000,0.07656152,-1.25896140,4.30307892,17.43136968,12.13921220
300.00000000,0.07602594,-1.26193299,4.30010733,17.37029245,12.09884806
300.00000000,0.07549640,-1.26488056,4.29715976,17.30969353,12.05854685
300.00000000,0.07497174,-1.26783459,4.29420574,17.24944114,12.01920622
300.00000000,0.07445075,-1.27082040,4.29121992,17.18940233,11.98026218
300.00000000,0.07393238,-1.27385597,4.28818436,17.12945687,11.94098333
300.00000000,0.07341577,-1.27695122,4.28508911,17.06950537,11.90130103
300.00000000,0.07290028,-1.28010882,4.28193150,17.00947228,11.86117256
300.00000000,0.07238546,-1.28332556,4.27871476,16.94930628,11.82060455
300.00000000,0.07187110,-1.28659383,4.27544649,16.88897902,11.77951509
300.00000000,0.07135713,-1.28990306,4.27213726,16.82848206,11.73788813
300.00000000,0.07084364,-1.29324098,4.26879934,16.76782284,11.69588188
300.00000000,0.07033080,-1.29659480,4.26544552,16.70702075,11.65457069
300.00000000,0.06981885,-1.29995237,4.26208795,16.64610348,11.61319970
300.00000000,0.06930808,-1.30330329,4.25873703,16.58510326,11.57124967
300.00000000,0.06879878,-1.30663985,4.25540047,16.52405371,11.52938977
300.00000000,0.06829121,-1.30995774,4.25208259,16.46298791,11.48719020
300.00000000,0.06778567,-1.31325614,4.24878418,16.40193859,11.44509956
300.00000000,0.06728242,-1.31653742,4.24550290,16.34094062,11.40282856
300.00000000,0.06678181,-1.31980624,4.24223408,16.28003547,11.36037897
300.00000000,0.06628427,-1.32306827,4.23897205,16.21927689,11.31800181
300.00000000,0.06579037,-1.32632882,4.23571150,16.15873679,11.27560609
300.00000000,0.06530086,-1.32959139,4.23244893,16.09851048,11.23376743
300.00000000,0.06481670,-1.33285652,4.22918380,16.03872040,11.19350914
300.00000000,0.06433908,-1.33612100,4.22591932,15.97951787,11.15314207
300.00000000,0.06386938,-1.33937752,4.22266280,15.92108245,11.11253440
300.00000000,0.06340917,-1.34261472,4.21942560,15.86361918,11.07185448
300.00000000,0.06296017,-1.34581763,4.21622269,15.80735388,11.03130862
300.00000000,0.06252418,-1.34896842,4.21307190,15.75252706,10.99156816
300.00000000,0.06210304,-1.35204736,4.20999297,15.69938672,10.95246334
300.00000000,0.06169858,-1.35503402,4.20700631,15.64818023,10.91707717
300.00000000,0.06131252,-1.35790856,4.20413176,15.59914571,10.88343420
300.00000000,0.06094641,-1.36065307,4.20138725,15.55250302,10.85096167
300.00000000,0.06060159,-1.36325273,4.19878759,15.50844513,10.82010218
300.00000000,0.06027913,-1.36569674,4.19634358,15.46713045,10.79135328
300.00000000,0.05997978,-1.36797885,4.19406148,15.42867683,10.76438727
300.00000000,0.05970394,-1.37009733,4.19194299,15.39315790,10.73935789
300.00000000,0.05945166,-1.37205459,4.18998573,15.36060206,10.71637806
300.00000000,0.05922269,-1.37385631,4.18818401,15.33099407,10.69556788
300.00000000,0.05901647,-1.37551043,4.18652989,15.30427878,10.67699601
300.00000000,0.05883219,-1.37702607,4.18501425,15.28036603,10.66053301
300.00000000,0.05866883,-1.37841255,4.18362777,15.25913599,10.64645109
300.00000000,0.05852518,-1.37967874,4.18236158,15.24044424,10.63456501
300.00000000,0.05839992,-1.38083261,4.18120771,15.22412639,10.62465676
300.00000000,0.05829161,-1.38188121,4.18015911,15.21000192,10.61650169
300.00000000,0.05819871,-1.38283096,4.17920936,15.19787744,10.60994605
300.00000000,0.05811964,-1.38368806,4.17835227,15.18754949,10.60530723
300.00000000,0.05805275,-1.38445909,4.17758123,15.17880711,10.60237580
300.00000000,0.05799637,-1.38515153,4.17688879,15.17143466,10.60052315
300.00000000,0.05794883,-1.38577409,4.17626623,15.16521499,10.59949092
300.00000000,0.05790847,-1.38633688,4.17570344,15.15993318,10.59916429
300.00000000,0.05787370,-1.38685117,4.17518915,15.15538076,10.59934046
300.00000000,0.05784299,-1.38732902,4.17471130,15.15136014,10.59980606
300.00000000,0.05781497,-1.38778263,4.17425769,15.14768897,10.60040122
300.00000000,0.05778837,-1.38822360,4.17381672,15.14420393,10.60098336
300.00000000,0.05776211,-1.38866220,4.17337812,15.14076373,10.60179530
300.00000000,0.05773531,-1.38910682,4.17293350,15.13725088,10.60237939
300.00000000,0.05770725,-1.38956353,4.17247679,15.13357210,10.60264803
300.00000000,0.05767740,-1.39003602,4.17200430,15.12965746,10.60254180
300.00000000,0.05764539,-1.39052580,4.17151452,15.12545816,10.60202069
300.00000000,0.05761098,-1.39103255,4.17100777,15.12094344,10.60106110
300.00000000,0.05757406,-1.39155479,4.17048553,15.11609687,10.59965258
300.00000000,0.05753457,-1.39209048,4.16994984,15.11091237,10.59779427
300.00000000,0.05749253,-1.39263767,4.16940265,15.10539059,10.59549158
300.00000000,0.05744797,-1.39319497,4.16884535,15.09953571,10.59299613
300.00000000,0.05740094,-1.39376186,4.16827846,15.09335305,10.59055715
300.00000000,0.05735146,-1.39433873,4.16770159,15.08684751,10.58776363
300.00000000,0.05729959,-1.39492680,4.16711352,15.08002282,10.58455729
300.00000000,0.05724533,-1.39552776,4.16651256,15.07288133,10.58094606
300.00000000,0.05718870,-1.39614347,4.16589685,15.06542416,10.57708980
300.00000000,0.05712971,-1.39677555,4.16526477,15.05765147,10.57299762
300.00000000,0.05706834,-1.39742513,4.16461519,15.04956250,10.56852870
300.00000000,0.05700460,-1.39809270,4.16394762,15.04115529,10.56368940
300.00000000,0.05693845,-1.39877816,4.16326216,15.03242605,10.55848488
