# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.11839276,-1.06530087,4.49673946,21.67648288,15.81683298
300.00000000,0.11757416,-1.06930330,4.49273702,21.60141391,15.74948115
300.00000000,0.11676685,-1.07312383,4.48891649,21.52712469,15.68176552
300.00000000,0.11597119,-1.07676504,4.48527528,21.45365511,15.61347600
300.00000000,0.11518747,-1.08023027,4.48181005,21.38104208,15.54518155
300.00000000,0.11441598,-1.08352361,4.47851671,21.30931933,15.47809479
300.00000000,0.11365692,-1.08664989,4.47539043,21.23851721,15.41325677
300.00000000,0.11291051,-1.08961471,4.47242561,21.16866258,15.35139797
300.00000000,0.11217687,-1.09242442,4.46961590,21.09977863,15.28928210
300.00000000,0.11145611,-1.09508607,4.46695425,21.03188481,15.22685904
300.00000000,0.11074831,-1.09760741,4.46443291,20.96499676,15.16531107
300.00000000,0.11005348,-1.09999685,4.46204347,20.89912633,15.10482387
300.00000000,0.10937160,-1.10226335,4.45977697,20.83428159,15.04721540
300.00000000,0.10870263,-1.10441642,4.45762391,20.77046698,14.99228003
300.00000000,0.10804646,-1.10646596,4.45557436,20.70768342,14.93920351
300.00000000,0.10740298,-1.10842223,4.45361809,20.64592853,14.88701767
300.00000000,0.10677205,-1.11029568,4.45174464,20.58519690,14.83516005
300.00000000,0.10615346,-1.11209685,4.44994347,20.52548037,14.78510398
300.00000000,0.10554704,-1.11383626,4.44820406,20.46676830,14.73488995
300.00000000,0.10495255,-1.11552425,4.44651607,20.40904797,14.68542889
300.00000000,0.10436977,-1.11717087,4.44486945,20.35230483,14.63740917
300.00000000,0.10379843,-1.11878574,4.44325458,20.29652287,14.59158857
300.00000000,0.10323830,-1.12037794,4.44166239,20.24168487,14.54656383
300.00000000,0.10268909,-1.12195591,4.44008441,20.18777267,14.50461685
300.00000000,0.10215056,-1.12352739,4.43851293,20.13476741,14.46303821
300.00000000,0.10162242,-1.12509931,4.43694101,20.08264965,14.42133149
300.00000000,0.10110441,-1.12667778,4.43536254,20.03139960,14.37963544
300.00000000,0.10059626,-1.12826805,4.43377227,19.98099710,14.33926478
300.00000000,0.10009769,-1.12987453,4.43216579,19.93142180,14.30029457
300.00000000,0.09960845,-1.13150078,4.43053954,19.88265310,14.26125840
300.00000000,0.09912826,-1.13314956,4.42889076,19.83467022,14.22222683
300.00000000,0.09865685,-1.13482288,4.42721744,19.78745215,14.18390369
300.00000000,0.09819397,-1.13652204,4.42551828,19.74097765,14.14561148
300.00000000,0.09773934,-1.13824770,4.42379263,19.69522526,14.10762153
300.00000000,0.09729270,-1.13999996,4.42204036,19.65017320,14.06989554
300.00000000,0.09685379,-1.14177843,4.42026189,19.60579941,14.03224090
300.00000000,0.09642233,-1.14358229,4.41845803,19.56208147,13.99467503
300.00000000,0.09599807,-1.14541036,4.41662996,19.51899666,13.95721361
300.00000000,0.09558072,-1.14726117,4.41477915,19.47652188,13.91987042
300.00000000,0.09517003,-1.14913304,4.41290728,19.43463365,13.88265735
300.00000000,0.09476573,-1.15102409,4.41101623,19.39330818,13.84660966
300.00000000,0.09436754,-1.15293234,4.40910798,19.35252128,13.81205781
300.00000000,0.09397519,-1.15485572,4.40718460,19.31224846,13.77796361
300.00000000,0.09358840,-1.15679215,4.40524817,19.27246492,13.74427102
300.00000000,0.09320692,-1.15873953,4.40330079,19.23314553,13.71076717
300.00000000,0.09283046,-1.16069580,4.40134452,19.19426496,13.67733465
300.00000000,0.09245874,-1.16265895,4.39938137,19.15579764,13.64426123
300.00000000,0.09209151,-1.16462707,4.39741325,19.11771780,13.61169899
300.00000000,0.09172849,-1.16659833,4.39544199,19.07999959,13.57917091
300.00000000,0.09136940,-1.16857101,4.39346931,19.04261704,13.54667386
300.00000000,0.09101399,-1.17054352,4.39149680,19.00554419,13.51420326
300.00000000,0.09066197,-1.17251441,4.38952591,18.96875509,13.48175320
300.00000000,0.09031311,-1.17448235,4.38755797,18.93222390,13.44933433
300.00000000,0.08996712,-1.17644616,4.38559416,18.89592494,13.41727541
300.00000000,0.08962377,-1.17840479,4.38363553,18.85983273,13.38519979
300.00000000,0.08928279,-1.18035735,4.38168297,18.82392211,13.35325683
300.00000000,0.08894395,-1.18230308,4.37973724,18.78816826,13.32139583
300.00000000,0.08860700,-1.18424134,4.37779898,18.75254680,13.28978178
300.00000000,0.08827171,-1.18617166,4.37586866,18.71703382,13.25814031
300.00000000,0.08793787,-1.18809365,4.37394667,18.68160599,13.22643854
300.00000000,0.08760524,-1.19000709,4.37203323,18.64624059,13.19466394
300.00000000,0.08727362,-1.19191184,4.37012848,18.61091562,13.16280384
300.00000000,0.08694281,-1.19380788,4.36823244,18.57560981,13.13084556
300.00000000,0.08661262,-1.19569530,4.36634502,18.54030272,13.09877654
300.00000000,0.08628286,-1.19757427,4.36446605,18.50497479,13.06662083
300.00000000,0.08595336,-1.19944504,4.36259528,18.46960742,13.03432653
300.00000000,0.08562396,-1.20130796,4.36073236,18.43418299,13.00203072
300.00000000,0.08529451,-1.20316343,4.35887689,18.39868493,12.96967465
300.00000000,0.08496487,-1.20501192,4.35702840,18.36309779,12.93712055
300.00000000,0.08463492,-1.20685396,4.35518636,18.32740728,12.90435894
300.00000000,0.08430453,-1.20869010,4.35335022,18.29160031,12.87138107
300.00000000,0.08397361,-1.21052095,4.35151937,18.25566502,12.83817894
300.00000000,0.08364207,-1.21234716,4.34969316,18.21959089,12.80496326
300.00000000,0.08330982,-1.21416936,4.34787096,18.18336869,12.77153817
300.00000000,0.08297681,-1.21598824,4.34605208,18.14699057,12.73786979
300.00000000,0.08264299,-1.21780447,4.34423585,18.11045009,12.70472174
300.00000000,0.08230831,-1.21961874,4.34242159,18.07374224,12.67205933
300.00000000,0.08197276,-1.22143169,4.34060863,18.03686346,12.63972338
300.00000000,0.08163632,-1.22324401,4.33879631,17.99981167,12.60741776
300.00000000,0.08129901,-1.22505631,4.33698401,17.96258630,12.57509469
300.00000000,0.08096083,-1.22686921,4.33517111,17.92518829,12.54384112
300.00000000,0.08062183,-1.22868328,4.33335705,17.88762011,12.51303470
300.00000000,0.08028204,-1.23049904,4.33154128,17.84988574,12.48196966
300.00000000,0.07994153,-1.23231700,4.32972332,17.81199071,12.45099348
300.00000000,0.07960036,-1.23413758,4.32790274,17.77394209,12.41990662
300.00000000,0.07925863,-1.23596115,4.32607917,17.73574843,12.38857586
300.00000000,0.07891643,-1.23778805,4.32425227,17.69741984,12.35708909
300.00000000,0.07857387,-1.23961850,4.32242182,17.65896786,12.32545240
300.00000000,0.07823108,-1.24145269,4.32058763,17.62040554,12.29380165
300.00000000,0.07788818,-1.24329072,4.31874960,17.58174734,12.26303080
300.00000000,0.07754534,-1.24513261,4.31690771,17.54300910,12.23343238
300.00000000,0.07720269,-1.24697830,4.31506202,17.50420802,12.20378410
300.00000000,0.07686041,-1.24882765,4.31321267,17.46536261,12.17418901
300.00000000,0.07651868,-1.25068043,4.31135989,17.42649262,12.14506409
300.00000000,0.07617768,-1.25253632,4.30950400,17.38761895,12.11580170
300.00000000,0.07583760,-1.25439493,4.30764539,17.34876366,12.08674354
300.00000000,0.07549864,-1.25625575,4.30578457,17.30994982,12.05766235
300.00000000,0.07516101,-1.25811821,4.30392211,17.27120145,12.02858740
300.00000000,0.07482492,-1.25998164,4.30205868,17.23254346,11.99998523
300.00000000,0.07449059,-1.26184530,4.30019502,17.19400152,11.97193805
300.00000000,0.07415824,-1.26370836,4.29833196,17.15560199,11.94396916
300.00000000,0.07382810,-1.26556991,4.29647041,17.11737180,11.91745420
300.00000000,0.07350038,-1.26742896,4.29461136,17.07933836,11.89244487
300.00000000,0.07317532,-1.26928447,4.29275585,17.04152945,11.86835445
300.00000000,0.07285315,-1.27113532,4.29090500,17.00397307,11.84510282
300.00000000,0.07253409,-1.27298032,4.28906000,16.96669740,11.82237044
300.00000000,0.07221836,-1.27481825,4.28722208,16.92973059,11.79961412
300.00000000,0.07190619,-1.27664781,4.28539251,16.89310073,11.77719170
300.00000000,0.07159779,-1.27846770,4.28357262,16.85683567,11.75494695
300.00000000,0.07129338,-1.28027655,4.28176377,16.82096294,11.73271664
300.00000000,0.07099317,-1.28207297,4.27996735,16.78550960,11.71074475
300.00000000,0.07069736,-1.28385556,4.27818476,16.75050219,11.68887542
300.00000000,0.07040613,-1.28562289,4.27641744,16.71596653,11.66707838
300.00000000,0.07011969,-1.28737352,4.27466680,16.68192769,11.64570988
300.00000000,0.06983820,-1.28910604,4.27293428,16.64840987,11.62442775
300.00000000,0.06956183,-1.29081903,4.27122129,16.61543627,11.60325452
300.00000000,0.06929075,-1.29251106,4.26952926,16.58302905,11.58221298
300.00000000,0.06902509,-1.29418077,4.26785955,16.55120921,11.56132598
300.00000000,0.06876499,-1.29582679,4.26621353,16.51999653,11.54061638
300.00000000,0.06851059,-1.29744780,4.26459252,16.48940951,11.52023162
300.00000000,0.06826199,-1.29904253,4.26299779,16.45946529,11.50020096
300.00000000,0.06801930,-1.30060974,4.26143058,16.43017961,11.48040291
300.00000000,0.06778259,-1.30214825,4.25989207,16.40156676,11.46086908
300.00000000,0.06755196,-1.30365694,4.25838338,16.37363954,11.44171275
300.00000000,0.06732746,-1.30513476,4.25690556,16.34640927,11.42296286
300.00000000,0.06710915,-1.30658071,4.25545961,16.31988572,11.40467042
300.00000000,0.06689706,-1.30799387,4.25404645,16.29407713,11.38670794
300.00000000,0.06669123,-1.30937341,4.25266691,16.26899019,11.36909237
300.00000000,0.06649166,-1.31071855,4.25132177,16.24463006,11.35183959
300.00000000,0.06629836,-1.31202861,4.25001171,16.22100040,11.33496438
300.00000000,0.06611132,-1.31330298,4.24873734,16.19810333,11.31848544
300.00000000,0.06593053,-1.31454116,4.24749916,16.17593953,11.30241563
300.00000000,0.06575594,-1.31574269,4.24629763,16.15450821,11.28675588
300.00000000,0.06558752,-1.31690724,4.24513308,16.13380719,11.27156661
300.00000000,0.06542522,-1.31803454,4.24400578,16.11383292,11.25684076
300.00000000,0.06526898,-1.31912442,4.24291590,16.09458055,11.24269615
300.00000000,0.06511872,-1.32017679,4.24186353,16.07604395,11.22898801
300.00000000,0.06497437,-1.32119163,4.24084869,16.05821579,11.21584545
300.00000000,0.06483584,-1.32216903,4.23987129,16.04108761,11.20316707
300.00000000,0.06470303,-1.32310915,4.23893117,16.02464982,11.19092704
300.00000000,0.06457584,-1.32401221,4.23802811,16.00889187,11.17942127
300.00000000,0.06445416,-1.32487853,4.23716179,15.99380219,11.16850270
300.00000000,0.06433788,-1.32570850,4.23633182,15.97936838,11.15799961
300.00000000,0.06422687,-1.32650257,4.23553775,15.96557718,11.14809092
300.00000000,0.06412101,-1.32726127,4.23477906,15.95241459,11.13863387
300.00000000,0.06402017,-1.32798516,4.23405516,15.93986592,11.12957361
300.00000000,0.06392422,-1.32867491,4.23336541,15.92791589,11.12090542
300.00000000,0.06383301,-1.32933121,4.23270911,15.91654865,11.11269128
300.00000000,0.06374641,-1.32995480,4.23208552,15.90574788,11.10491236
300.00000000,0.06366426,-1.33054649,4.23149383,15.89549685,11.09756823
300.00000000,0.06358644,-1.33110711,4.23093321,15.88577849,11.09057711
300.00000000,0.06351279,-1.33163754,4.23040278,15.87657543,11.08393097
300.00000000,0.06344316,-1.33213869,4.22990163,15.86787010,11.07762121
300.00000000,0.06337740,-1.33261149,4.22942883,15.85964478,11.07163872
300.00000000,0.06331537,-1.33305692,4.22898340,15.85188161,11.06597396
300.00000000,0.06325692,-1.33347595,4.22856438,15.84456273,11.06061698
300.00000000,0.06320190,-1.33386957,4.22817075,15.83767026,11.05555753
300.00000000,0.06315016,-1.33423881,4.22780151,15.83118641,11.05078508
300.00000000,0.06310156,-1.33458468,4.22745564,15.82509347,11.04628892
300.00000000,0.06305595,-1.33490820,4.22713212,15.81937389,11.04205817
300.00000000,0.06301320,-1.33521038,4.22682994,15.81401036,11.03810573
300.00000000,0.06297317,-1.33549225,4.22654807,15.80898575,11.03446969
300.00000000,0.06293571,-1.33575482,4.22628550,15.80428326,11.03105944
300.00000000,0.06290069,-1.33599907,4.22604125,15.79988637,11.02786437
300.00000000,0.06286799,-1.33622600,4.22581432,15.79577893,11.02487395
300.00000000,0.06283748,-1.33643657,4.22560375,15.79194514,11.02207776
300.00000000,0.06280903,-1.33663173,4.22540859,15.78836962,11.01946553
300.00000000,0.06278252,-1.33681240,4.22522792,15.78503742,11.01702718
300.00000000,0.06275784,-1.33697949,4.22506083,15.78193402,11.01475282
300.00000000,0.06273486,-1.33713387,4.22490645,15.77904538,11.01263282
300.00000000,0.06271350,-1.33727639,4.22476394,15.77635792,11.01065778
300.00000000,0.06269363,-1.33740786,4.22463246,15.77385857,11.00881861
300.00000000,0.06267516,-1.33752907,4.22451125,15.77153478,11.00710650
