# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.00270923,-1.37744060,4.03466629,2.82249777,1.82527348
300.00000000,0.00274067,-1.38256464,4.02954226,2.83883107,1.83556769
300.00000000,0.00277301,-1.38769607,4.02441082,2.85553098,1.84612951
300.00000000,0.00280625,-1.39283503,4.01927186,2.87259312,1.85692424
300.00000000,0.00284040,-1.39798175,4.01412514,2.89001693,1.86797870
300.00000000,0.00287546,-1.40313652,4.00897037,2.90780293,1.87925946
300.00000000,0.00291147,-1.40829962,4.00380727,2.92595238,1.89074694
300.00000000,0.00294843,-1.41347136,3.99863553,2.94446719,1.90244205
300.00000000,0.00298637,-1.41865204,3.99345485,2.96334989,1.91445895
300.00000000,0.00302530,-1.42384200,3.98826490,2.98260352,1.92668881
300.00000000,0.00306525,-1.42904157,3.98306533,3.00223145,1.93913410
300.00000000,0.00310624,-1.43425111,3.97785578,3.02223735,1.95179838
300.00000000,0.00314829,-1.43947100,3.97263590,3.04262519,1.96475473
300.00000000,0.00319143,-1.44470160,3.96740529,3.06339953,1.97805912
300.00000000,0.00323568,-1.44994328,3.96216361,3.08456570,1.99158736
300.00000000,0.00328108,-1.45519638,3.95691051,3.10613000,2.00536844
300.00000000,0.00332766,-1.46046119,3.95164570,3.12809974,2.01940251
300.00000000,0.00337546,-1.46573798,3.94636892,3.15048326,2.03367160
300.00000000,0.00342450,-1.47102693,3.94107997,3.17328989,2.04819488
300.00000000,0.00347485,-1.47632819,3.93577870,3.19652995,2.06310329
300.00000000,0.00352653,-1.48164187,3.93046502,3.22021462,2.07827407
300.00000000,0.00357960,-1.48696803,3.92513886,3.24435595,2.09371466
300.00000000,0.00363412,-1.49230670,3.91980019,3.26896672,2.10943510
300.00000000,0.00369013,-1.49765787,3.91444903,3.29406035,2.12553814
300.00000000,0.00374768,-1.50302150,3.90908539,3.31965089,2.14193880
300.00000000,0.00380685,-1.50839753,3.90370936,3.34575290,2.15864757
300.00000000,0.00386769,-1.51378585,3.89832104,3.37238138,2.17567517
300.00000000,0.00393026,-1.51918633,3.89292056,3.39955164,2.19303381
300.00000000,0.00399463,-1.52459877,3.88750812,3.42727917,2.21083700
300.00000000,0.00406088,-1.53002294,3.88208396,3.45557946,2.22930993
300.00000000,0.00412906,-1.53545854,3.87664835,3.48446790,2.24820871
300.00000000,0.00419925,-1.54090525,3.87120164,3.51395956,2.26749180
300.00000000,0.00427152,-1.54636265,3.86574425,3.54406905,2.28723982
300.00000000,0.00434594,-1.55183026,3.86027664,3.57481029,2.30742367
300.00000000,0.00442259,-1.55730754,3.85479936,3.60619636,2.32802180
300.00000000,0.00450153,-1.56279386,3.84931303,3.63823925,2.34906489
300.00000000,0.00458284,-1.56828854,3.84381835,3.67094968,2.37054114
300.00000000,0.00466658,-1.57379078,3.83831611,3.70433685,2.39258985
300.00000000,0.00475282,-1.57929971,3.83280718,3.73840822,2.41512678
300.00000000,0.00484162,-1.58481439,3.82729251,3.77316934,2.43811043
300.00000000,0.00493303,-1.59033375,3.82177314,3.80862364,2.46154325
300.00000000,0.00502712,-1.59585667,3.81625022,3.84477236,2.48542623
300.00000000,0.00512393,-1.60138191,3.81072498,3.88161455,2.50975890
300.00000000,0.00522350,-1.60690815,3.80519875,3.91914720,2.53453948
300.00000000,0.00532587,-1.61243395,3.79967295,3.95736539,2.55976495
300.00000000,0.00543108,-1.61795778,3.79414911,3.99626244,2.58543116
300.00000000,0.00553916,-1.62347802,3.78862887,4.03582997,2.61153285
300.00000000,0.00565013,-1.62899294,3.78311395,4.07605767,2.63808019
300.00000000,0.00576402,-1.63450071,3.77760618,4.11693312,2.66506898
300.00000000,0.00588084,-1.63999942,3.77210747,4.15844145,2.69257990
300.00000000,0.00600058,-1.64548706,3.76661984,4.20056513,2.72060510
300.00000000,0.00612325,-1.65096154,3.76114535,4.24328377,2.74901918
300.00000000,0.00624883,-1.65642072,3.75568618,4.28657406,2.77780703
300.00000000,0.00637729,-1.66186236,3.75024453,4.33040968,2.80703344
300.00000000,0.00650859,-1.66728419,3.74482270,4.37476129,2.83667480
300.00000000,0.00664268,-1.67268388,3.73942301,4.41959658,2.86675397
300.00000000,0.00677950,-1.67805906,3.73404783,4.46488023,2.89724832
300.00000000,0.00691897,-1.68340732,3.72869957,4.51057402,2.92806286
