# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.14273368,-0.96357376,4.37860682,19.10317704,13.25645499
300.00000000,0.14209708,-0.96784753,4.37433305,19.06052928,13.22423648
300.00000000,0.14146571,-0.97197240,4.37020818,19.01813708,13.19152433
300.00000000,0.14083993,-0.97594846,4.36623213,18.97602603,13.15833361
300.00000000,0.14022008,-0.97977601,4.36240457,18.93422274,13.12575484
300.00000000,0.13960656,-0.98345562,4.35872496,18.89275471,13.09289880
300.00000000,0.13899974,-0.98698810,4.35519248,18.85165026,13.05966637
300.00000000,0.13840003,-0.99037452,4.35180606,18.81093833,13.02651151
300.00000000,0.13780780,-0.99361621,4.34856437,18.77064830,12.99504215
300.00000000,0.13722346,-0.99671478,4.34546581,18.73080981,12.96355498
300.00000000,0.13664739,-0.99967207,4.34250851,18.69145249,12.93181218
300.00000000,0.13607999,-1.00249024,4.33969035,18.65260573,12.89985532
300.00000000,0.13552162,-1.00517166,4.33700893,18.61429842,12.86866400
300.00000000,0.13497265,-1.00771899,4.33446160,18.57655873,12.83798947
300.00000000,0.13443342,-1.01013514,4.33204544,18.53941385,12.80811853
300.00000000,0.13390425,-1.01242325,4.32975733,18.50288979,12.77885951
300.00000000,0.13338546,-1.01458669,4.32759390,18.46701122,12.75117333
300.00000000,0.13287730,-1.01662903,4.32555156,18.43180127,12.72365389
300.00000000,0.13238005,-1.01855403,4.32362656,18.39728145,12.69613601
300.00000000,0.13189393,-1.02036562,4.32181496,18.36347155,12.66865785
300.00000000,0.13141915,-1.02206788,4.32011270,18.33038959,12.64223464
300.00000000,0.13095587,-1.02366499,4.31851560,18.29805178,12.61745389
300.00000000,0.13050424,-1.02516121,4.31701937,18.26647256,12.59365369
300.00000000,0.13006440,-1.02656091,4.31561968,18.23566462,12.57041727
300.00000000,0.12963644,-1.02786845,4.31431214,18.20563891,12.54731673
300.00000000,0.12922044,-1.02908822,4.31309236,18.17640475,12.52438850
300.00000000,0.12881646,-1.03022461,4.31195597,18.14796989,12.50180681
300.00000000,0.12842452,-1.03128197,4.31089862,18.12034055,12.48059718
300.00000000,0.12804466,-1.03226457,4.30991602,18.09352154,12.46021721
300.00000000,0.12767685,-1.03317663,4.30900396,18.06751629,12.44019435
300.00000000,0.12732109,-1.03402227,4.30815831,18.04232697,12.42052723
300.00000000,0.12697734,-1.03480551,4.30737508,18.01795447,12.40118754
300.00000000,0.12664555,-1.03553022,4.30665036,17.99439852,12.38220470
300.00000000,0.12632565,-1.03620017,4.30598042,17.97165770,12.36392242
300.00000000,0.12601756,-1.03681897,4.30536162,17.94972947,12.34681821
300.00000000,0.12572120,-1.03739008,4.30479051,17.92861021,12.33010518
300.00000000,0.12543645,-1.03791681,4.30426378,17.90829521,12.31386035
300.00000000,0.12516319,-1.03840232,4.30377827,17.88877871,12.29887053
300.00000000,0.12490131,-1.03884960,4.30333099,17.87005392,12.28467775
300.00000000,0.12465064,-1.03926148,4.30291910,17.85211298,12.27126630
300.00000000,0.12441103,-1.03964065,4.30253993,17.83494701,12.25851947
300.00000000,0.12418232,-1.03998963,4.30219096,17.81854613,12.24620741
300.00000000,0.12396433,-1.04031077,4.30186981,17.80289941,12.23434006
300.00000000,0.12375685,-1.04060631,4.30157428,17.78799496,12.22292537
300.00000000,0.12355969,-1.04087830,4.30130228,17.77381994,12.21196928
300.00000000,0.12337263,-1.04112870,4.30105189,17.76036053,12.20151095
300.00000000,0.12319544,-1.04135929,4.30082130,17.74760205,12.19176722
300.00000000,0.12302788,-1.04157175,4.30060884,17.73552894,12.18254580
300.00000000,0.12286972,-1.04176762,4.30041297,17.72412484,12.17380428
