# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.29900568,-0.19252072,5.25646418,30.76568718,22.23664237
300.00000000,0.29689235,-0.21207034,5.23691456,30.65677055,22.04319503
300.00000000,0.29510068,-0.22978303,5.21920187,30.56412756,21.88470362
300.00000000,0.29360138,-0.24584117,5.20314373,30.48638587,21.76030398
300.00000000,0.29233807,-0.26054644,5.18843846,30.42072688,21.65558311
300.00000000,0.29125156,-0.27419790,5.17478699,30.36414311,21.57150922
300.00000000,0.29028852,-0.28705395,5.16193095,30.31390119,21.50092744
300.00000000,0.28940657,-0.29931325,5.14967164,30.26781644,21.44259302
300.00000000,0.28857544,-0.31111356,5.13787133,30.22432303,21.39420152
300.00000000,0.28777492,-0.32254458,5.12644032,30.18237222,21.35979388
300.00000000,0.28699161,-0.33366496,5.11531993,30.14126680,21.33242043
300.00000000,0.28621613,-0.34451607,5.10446883,30.10051678,21.30660184
300.00000000,0.28544140,-0.35512990,5.09385500,30.05975077,21.28119137
300.00000000,0.28466175,-0.36553294,5.08345196,30.01867085,21.25723333
300.00000000,0.28387252,-0.37574808,5.07323682,29.97702815,21.23210279
300.00000000,0.28306960,-0.38579606,5.06318883,29.93460348,21.20788843
300.00000000,0.28224904,-0.39569715,5.05328775,29.89118531,21.18437597
300.00000000,0.28140659,-0.40547305,5.04351185,29.84654242,21.15904243
300.00000000,0.28053700,-0.41514919,5.03383570,29.80039146,21.13282925
300.00000000,0.27963342,-0.42475712,5.02422778,29.75236085,21.10481297
300.00000000,0.27868671,-0.43433671,5.01464819,29.70195440,21.07348147
300.00000000,0.27768485,-0.44393793,5.00504696,29.64851831,21.03945716
300.00000000,0.27661251,-0.45362194,4.99536296,29.59121541,21.00225230
300.00000000,0.27545077,-0.46346117,4.98552373,29.52901036,20.96107644
300.00000000,0.27417728,-0.47353831,4.97544659,29.46067049,20.91736096
300.00000000,0.27276664,-0.48394402,4.96504088,29.38478564,20.87259468
300.00000000,0.27119140,-0.49477286,4.95421204,29.29981345,20.82306389
300.00000000,0.26942355,-0.50611735,4.94286755,29.20415714,20.76825903
300.00000000,0.26743682,-0.51805971,4.93092518,29.09628228,20.70696394
300.00000000,0.26521287,-0.53065189,4.91833300,28.97505032,20.63716233
300.00000000,0.26366737,-0.54026296,4.90872194,28.89050220,20.58555697
300.00000000,0.26176749,-0.55102627,4.89795863,28.78622764,20.52004856
300.00000000,0.25956602,-0.56270111,4.88628379,28.66492529,20.44066999
300.00000000,0.25706221,-0.57525443,4.87373046,28.52633770,20.34416693
300.00000000,0.25484612,-0.58643695,4.86254795,28.40311114,20.25508006
300.00000000,0.25263286,-0.59738660,4.85159830,28.27950586,20.16659468
300.00000000,0.25007130,-0.60938549,4.83959941,28.13577128,20.06228697
300.00000000,0.24717352,-0.62234686,4.82663804,27.97228028,19.94408173
300.00000000,0.24461903,-0.63378911,4.81519579,27.82736052,19.83937384
300.00000000,0.24160031,-0.64664533,4.80233957,27.65512583,19.71809743
300.00000000,0.23818719,-0.66060753,4.78837737,27.45908723,19.58729609
300.00000000,0.23439355,-0.67556485,4.77342005,27.23953723,19.43620031
300.00000000,0.23020805,-0.69149143,4.75749347,26.99523724,19.26888179
300.00000000,0.22668316,-0.70477416,4.74421073,26.78776812,19.13428621
300.00000000,0.22329871,-0.71725924,4.73172566,26.58704096,19.00228196
300.00000000,0.22024126,-0.72835833,4.72062657,26.40439607,18.87968044
300.00000000,0.21676695,-0.74055223,4.70843266,26.19530310,18.74054489
300.00000000,0.21292034,-0.75366929,4.69531561,25.96184004,18.58592494
300.00000000,0.20883274,-0.76726977,4.68171513,25.71142745,18.41098018
300.00000000,0.20468407,-0.78079168,4.66819321,25.45475508,18.21763524
300.00000000,0.20118754,-0.79205365,4.65693124,25.23640196,18.04966022
300.00000000,0.19798565,-0.80222848,4.64675642,25.03477868,17.88547639
300.00000000,0.19478070,-0.81225733,4.63672756,24.83132279,17.71567107
300.00000000,0.19213189,-0.82046824,4.62851665,24.66190523,17.57191336
300.00000000,0.18961620,-0.82816633,4.62081857,24.49991692,17.43856728
300.00000000,0.18724129,-0.83534368,4.61364121,24.34600537,17.31340283
300.00000000,0.18500773,-0.84200944,4.60697546,24.20036079,17.20454032
300.00000000,0.18282354,-0.84844486,4.60054004,24.05708263,17.09821454
300.00000000,0.18099174,-0.85377548,4.59520941,23.93625898,17.01836712
300.00000000,0.17930376,-0.85862527,4.59035963,23.82437921,16.95047436
300.00000000,0.17763170,-0.86336944,4.58561546,23.71303487,16.89239998
300.00000000,0.17598236,-0.86798989,4.58099501,23.60268808,16.83358249
300.00000000,0.17444549,-0.87224026,4.57674464,23.49939990,16.77947631
300.00000000,0.17296413,-0.87628713,4.57269777,23.39941064,16.72852677
300.00000000,0.17171636,-0.87964853,4.56933637,23.31485611,16.68555686
300.00000000,0.17072885,-0.88226369,4.56672120,23.24771943,16.65351190
300.00000000,0.16976835,-0.88478205,4.56420284,23.18223305,16.62152432
300.00000000,0.16883995,-0.88719232,4.56179258,23.11875848,16.58954086
300.00000000,0.16794868,-0.88948687,4.55949803,23.05765798,16.55791163
300.00000000,0.16735624,-0.89096777,4.55801712,23.01695398,16.53833912
300.00000000,0.16679981,-0.89234436,4.55664053,22.97865877,16.51987964
300.00000000,0.16619627,-0.89383869,4.55514621,22.93704830,16.49895996
300.00000000,0.16556574,-0.89539707,4.55358783,22.89349660,16.47612154
300.00000000,0.16492681,-0.89696957,4.55201532,22.84928056,16.45205163
300.00000000,0.16428788,-0.89853392,4.55045097,22.80497831,16.42696622
300.00000000,0.16366010,-0.90006154,4.54892336,22.76136510,16.40164345
300.00000000,0.16305373,-0.90152672,4.54745818,22.71915979,16.37690188
300.00000000,0.16247828,-0.90290615,4.54607875,22.67903395,16.35282376
300.00000000,0.16194245,-0.90417901,4.54480588,22.64160687,16.32994981
300.00000000,0.16154030,-0.90511054,4.54387436,22.61347692,16.31391153
300.00000000,0.16123576,-0.90579404,4.54319086,22.59215106,16.30230384
300.00000000,0.16097099,-0.90637765,4.54260725,22.57359353,16.29231835
300.00000000,0.16074414,-0.90686682,4.54211808,22.55768210,16.28390723
300.00000000,0.16055317,-0.90726738,4.54171752,22.54427864,16.27700346
300.00000000,0.16039586,-0.90758544,4.54139946,22.53323134,16.27152313
300.00000000,0.16026983,-0.90782735,4.54115754,22.52437706,16.26736801
300.00000000,0.16017260,-0.90799962,4.54098527,22.51754378,16.26442827
300.00000000,0.16010161,-0.90810886,4.54087604,22.51255302,16.26258540
300.00000000,0.16005424,-0.90816167,4.54082323,22.50922238,16.26171495
300.00000000,0.16002787,-0.90816465,4.54082025,22.50736789,16.26168931
300.00000000,0.16001988,-0.90812427,4.54086063,22.50680632,16.26238028
300.00000000,0.16002772,-0.90804684,4.54093805,22.50735734,16.26366129
300.00000000,0.16004888,-0.90793847,4.54104643,22.50884541,16.26540950
300.00000000,0.16008097,-0.90780498,4.54117992,22.51110155,16.26753557
300.00000000,0.16012169,-0.90765189,4.54133301,22.51396476,16.26991428
300.00000000,0.16016890,-0.90748439,4.54150051,22.51728328,16.27242339
300.00000000,0.16022057,-0.90730728,4.54167761,22.52091547,16.27496735
300.00000000,0.16027486,-0.90712502,4.54185988,22.52473056,16.27745980
300.00000000,0.16033006,-0.90694163,4.54204327,22.52860916,16.27982446
300.00000000,0.16038464,-0.90676073,4.54222417,22.53244310,16.28199247
300.00000000,0.16043721,-0.90658556,4.54239934,22.53613593,16.28390543
300.00000000,0.16048658,-0.90641896,4.54256594,22.53960263,16.28551374
300.00000000,0.16053168,-0.90626339,4.54272151,22.54276934,16.28697784
300.00000000,0.16057161,-0.90612094,4.54286396,22.54557276,16.28807830
300.00000000,0.16060561,-0.90599335,4.54299155,22.54795977,16.28878328
300.00000000,0.16063306,-0.90588203,4.54310287,22.54988688,16.29030753
300.00000000,0.16065347,-0.90578808,4.54319682,22.55131956,16.29142253
300.00000000,0.16066647,-0.90571232,4.54327257,22.55223161,16.29209591
300.00000000,0.16067178,-0.90565532,4.54332957,22.55260448,16.29232450
300.00000000,0.16066925,-0.90561740,4.54336749,22.55242654,16.29210910
300.00000000,0.16065879,-0.90559868,4.54338622,22.55169246,16.29145386
300.00000000,0.16064041,-0.90559907,4.54338583,22.55040246,16.29036583
300.00000000,0.16061418,-0.90561835,4.54336655,22.54856176,16.28885444
300.00000000,0.16058024,-0.90565611,4.54332879,22.54617881,16.28692769
300.00000000,0.16061671,-0.90552570,4.54345920,22.54873915,16.28835593
300.00000000,0.16061259,-0.90549237,4.54349253,22.54844965,16.28781031
300.00000000,0.16055471,-0.90558710,4.54339780,22.54438645,16.28476125
300.00000000,0.16045689,-0.90577664,4.54320826,22.53751771,16.27973672
300.00000000,0.16034044,-0.90601022,4.54297467,22.52933845,16.27395595
300.00000000,0.16027901,-0.90611316,4.54287174,22.52502168,16.27098573
300.00000000,0.16021025,-0.90623357,4.54275133,22.52018997,16.26764067
300.00000000,0.16013512,-0.90636941,4.54261548,22.51490882,16.26400139
300.00000000,0.16010012,-0.90641048,4.54257441,22.51244833,16.26223102
300.00000000,0.16009261,-0.90638617,4.54259873,22.51192029,16.26162077
300.00000000,0.16004355,-0.90646021,4.54252469,22.50847027,16.25927309
300.00000000,0.15995677,-0.90662304,4.54236186,22.50236724,16.25517905
300.00000000,0.15985250,-0.90682723,4.54215767,22.49503201,16.25022635
300.00000000,0.15987787,-0.90672721,4.54225768,22.49681671,16.25123677
300.00000000,0.15988541,-0.90666978,4.54231512,22.49734739,16.25138713
300.00000000,0.15988505,-0.90663123,4.54235367,22.49732210,16.25114257
300.00000000,0.15985456,-0.90666392,4.54232098,22.49517713,16.24946050
300.00000000,0.15981543,-0.90671741,4.54226749,22.49242317,16.24733176
300.00000000,0.15977777,-0.90676760,4.54221730,22.48977348,16.24523855
300.00000000,0.15969306,-0.90692828,4.54205661,22.48381042,16.24095674
300.00000000,0.15961013,-0.90708522,4.54189968,22.47797182,16.23683037
300.00000000,0.15952228,-0.90725368,4.54173121,22.47178538,16.23244938
300.00000000,0.15940628,-0.90748819,4.54149671,22.46361347,16.22691871
300.00000000,0.15928823,-0.90772861,4.54125628,22.45529386,16.22137748
300.00000000,0.15924912,-0.90778500,4.54119990,22.45253664,16.21915135
300.00000000,0.15920236,-0.90785931,4.54112559,22.44924000,16.21657093
300.00000000,0.15905659,-0.90816349,4.54082141,22.43896071,16.20948294
300.00000000,0.15884799,-0.90861330,4.54037160,22.42424140,16.19940915
300.00000000,0.15872591,-0.90886370,4.54012120,22.41562296,16.19323426
300.00000000,0.15861121,-0.90909799,4.53988691,22.40752208,16.18731175
300.00000000,0.15848258,-0.90936489,4.53962001,22.39843459,16.18066931
300.00000000,0.15834517,-0.90965298,4.53933192,22.38872217,16.17351149
300.00000000,0.15819478,-0.90997186,4.53901304,22.37808740,16.16563201
300.00000000,0.15806434,-0.91024550,4.53873940,22.36885994,16.15861952
300.00000000,0.15788791,-0.91062525,4.53835965,22.35637268,16.14939955
300.00000000,0.15772327,-0.91097945,4.53800545,22.34471306,16.14073905
300.00000000,0.15764405,-0.91113868,4.53784621,22.33910081,16.13595846
300.00000000,0.15753763,-0.91136114,4.53762376,22.33155939,16.12977489
300.00000000,0.15738684,-0.91168619,4.53729870,22.32086960,16.12141602
