# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.18174808,-0.78276811,4.66621678,23.98622005,16.80226783
300.00000000,0.18085551,-0.78980937,4.65917552,23.92724882,16.76165813
300.00000000,0.17997468,-0.79663202,4.65235288,23.86891094,16.72194524
300.00000000,0.17910613,-0.80323614,4.64574876,23.81124583,16.68253250
300.00000000,0.17825038,-0.80962201,4.63936288,23.75429411,16.64347829
300.00000000,0.17740800,-0.81579007,4.63319482,23.69809864,16.60538627
300.00000000,0.17657961,-0.82174083,4.62724407,23.64270568,16.57368089
300.00000000,0.17576587,-0.82747482,4.62151008,23.58816570,16.54312224
300.00000000,0.17496751,-0.83299261,4.61599228,23.53453379,16.51290885
300.00000000,0.17418532,-0.83829483,4.61069007,23.48186943,16.48313488
300.00000000,0.17342013,-0.84338223,4.60560267,23.43023519,16.45393726
300.00000000,0.17267277,-0.84825584,4.60072906,23.37969438,16.42524960
300.00000000,0.17194404,-0.85291718,4.59606772,23.33030755,16.39713274
300.00000000,0.17123462,-0.85736843,4.59161646,23.28212839,16.36985624
300.00000000,0.17054501,-0.86161266,4.58737224,23.23519981,16.34350008
300.00000000,0.16987555,-0.86565385,4.58333104,23.18955106,16.31841781
300.00000000,0.16922634,-0.86949696,4.57948794,23.14519657,16.29425552
300.00000000,0.16859726,-0.87314774,4.57583715,23.10213675,16.27112168
300.00000000,0.16798805,-0.87661258,4.57237231,23.06036030,16.24872813
300.00000000,0.16739831,-0.87989826,4.56908664,23.01984732,16.22714294
300.00000000,0.16682760,-0.88301172,4.56597318,22.98057255,16.20634087
300.00000000,0.16627540,-0.88595991,4.56302498,22.94250817,16.18623817
300.00000000,0.16574122,-0.88874968,4.56023522,22.90562593,16.16681250
300.00000000,0.16522459,-0.89138764,4.55759726,22.86989856,16.14802882
300.00000000,0.16472506,-0.89388016,4.55510474,22.83530062,16.12987614
300.00000000,0.16424222,-0.89623334,4.55275156,22.80180886,16.11240444
300.00000000,0.16377570,-0.89845302,4.55053187,22.76940229,16.09561706
300.00000000,0.16332516,-0.90054478,4.54844012,22.73806208,16.07943167
300.00000000,0.16289030,-0.90251394,4.54647096,22.70777131,16.06384126
300.00000000,0.16247084,-0.90436560,4.54461930,22.67851472,16.04883993
300.00000000,0.16206652,-0.90610464,4.54288026,22.65027842,16.03442277
300.00000000,0.16167710,-0.90773575,4.54124915,22.62304961,16.02058560
300.00000000,0.16130236,-0.90926343,4.53972147,22.59681634,16.00732483
300.00000000,0.16094209,-0.91069201,4.53829289,22.57156728,15.99463728
300.00000000,0.16059609,-0.91202564,4.53695926,22.54729152,15.98252004
300.00000000,0.16026416,-0.91326833,4.53571656,22.52397841,15.97115430
300.00000000,0.15994611,-0.91442395,4.53456094,22.50161742,15.96065805
300.00000000,0.15964175,-0.91549622,4.53348867,22.48019798,15.95068638
300.00000000,0.15935088,-0.91648873,4.53249617,22.45970944,15.94123759
300.00000000,0.15907333,-0.91740493,4.53157997,22.44014090,15.93230965
300.00000000,0.15880889,-0.91824816,4.53073674,22.42148121,15.92390010
300.00000000,0.15855737,-0.91902165,4.52996325,22.40371886,15.91600602
300.00000000,0.15831857,-0.91972850,4.52925640,22.38684196,15.90862394
300.00000000,0.15809230,-0.92037171,4.52861319,22.37083818,15.90174987
300.00000000,0.15787834,-0.92095417,4.52803073,22.35569472,15.89537920
300.00000000,0.15767648,-0.92147867,4.52750623,22.34139830,15.88950673
300.00000000,0.15748650,-0.92194790,4.52703700,22.32793513,15.88412662
300.00000000,0.15730818,-0.92236446,4.52662043,22.31529089,15.87923239
300.00000000,0.15714129,-0.92273086,4.52625404,22.30345075,15.87481692
300.00000000,0.15698561,-0.92304952,4.52593538,22.29239932,15.87087246
300.00000000,0.15684087,-0.92332276,4.52566214,22.28212073,15.86739061
300.00000000,0.15670685,-0.92355284,4.52543206,22.27259856,15.86436234
300.00000000,0.15658329,-0.92374193,4.52524297,22.26381590,15.86177803
300.00000000,0.15646993,-0.92389213,4.52509277,22.25575535,15.85962748
300.00000000,0.15636651,-0.92400546,4.52497943,22.24839906,15.85789989
300.00000000,0.15627276,-0.92408388,4.52490102,22.24172874,15.85658399
300.00000000,0.15618842,-0.92412925,4.52485565,22.23572568,15.85566795
300.00000000,0.15611320,-0.92414340,4.52484150,22.23037082,15.85513952
300.00000000,0.15604683,-0.92412808,4.52485681,22.22564475,15.85498600
300.00000000,0.15598902,-0.92408498,4.52489992,22.22152776,15.85519434
300.00000000,0.15593950,-0.92401572,4.52496918,22.21799990,15.85575113
300.00000000,0.15589796,-0.92392187,4.52506303,22.21504099,15.85664266
300.00000000,0.15586414,-0.92380493,4.52517997,22.21263072,15.85785500
300.00000000,0.15583772,-0.92366637,4.52531853,22.21074865,15.85949680
300.00000000,0.15581844,-0.92350757,4.52547732,22.20937427,15.86167743
300.00000000,0.15580599,-0.92332989,4.52565501,22.20848709,15.86414409
300.00000000,0.15580009,-0.92313461,4.52585028,22.20806663,15.86693037
300.00000000,0.15580045,-0.92292298,4.52606192,22.20809252,15.87019248
300.00000000,0.15580680,-0.92269617,4.52628873,22.20854456,15.87375135
300.00000000,0.15581884,-0.92245534,4.52652956,22.20940272,15.87760333
300.00000000,0.15583630,-0.92220156,4.52678334,22.21064723,15.88166653
300.00000000,0.15585891,-0.92193589,4.52704901,22.21225864,15.88592710
300.00000000,0.15588641,-0.92165931,4.52732559,22.21421783,15.89039932
300.00000000,0.15591853,-0.92137277,4.52761212,22.21650610,15.89508806
300.00000000,0.15595501,-0.92107719,4.52790771,22.21910517,15.89993441
300.00000000,0.15599561,-0.92077340,4.52821150,22.22199727,15.90494152
300.00000000,0.15604009,-0.92046223,4.52852267,22.22516514,15.91018501
300.00000000,0.15608822,-0.92014444,4.52884046,22.22859210,15.91555104
300.00000000,0.15613976,-0.91982076,4.52916414,22.23226206,15.92102785
300.00000000,0.15619451,-0.91949187,4.52949303,22.23615956,15.92660417
300.00000000,0.15625226,-0.91915841,4.52982649,22.24026982,15.93226915
300.00000000,0.15631281,-0.91882099,4.53016391,22.24457872,15.93801246
300.00000000,0.15637598,-0.91848015,4.53050475,22.24907287,15.94382426
300.00000000,0.15644159,-0.91813643,4.53084847,22.25373961,15.94969525
300.00000000,0.15650947,-0.91779030,4.53119459,22.25856701,15.95572494
300.00000000,0.15657946,-0.91744222,4.53154268,22.26354393,15.96190265
300.00000000,0.15665143,-0.91709257,4.53189233,22.26865997,15.96811473
300.00000000,0.15672524,-0.91674174,4.53224316,22.27390553,15.97435380
300.00000000,0.15680077,-0.91639006,4.53259484,22.27927178,15.98061305
300.00000000,0.15687790,-0.91603783,4.53294707,22.28475068,15.98692706
300.00000000,0.15695653,-0.91568531,4.53329959,22.29033496,15.99335258
300.00000000,0.15703658,-0.91533274,4.53365216,22.29601815,15.99978097
300.00000000,0.15711796,-0.91498032,4.53400457,22.30179452,16.00620764
300.00000000,0.15720060,-0.91462823,4.53435667,22.30765913,16.01267126
300.00000000,0.15728445,-0.91427660,4.53470830,22.31360777,16.01913132
300.00000000,0.15736946,-0.91392554,4.53505936,22.31963697,16.02557728
300.00000000,0.15745559,-0.91357515,4.53540975,22.32574397,16.03200664
300.00000000,0.15754281,-0.91322547,4.53575943,22.33192670,16.03841740
300.00000000,0.15763111,-0.91287655,4.53610835,22.33818377,16.04480799
300.00000000,0.15772046,-0.91252838,4.53645651,22.34451446,16.05117727
300.00000000,0.15781089,-0.91218097,4.53680393,22.35091865,16.05783358
300.00000000,0.15790238,-0.91183426,4.53715064,22.35739684,16.06447975
300.00000000,0.15799496,-0.91148820,4.53749670,22.36395008,16.07128984
300.00000000,0.15808865,-0.91114272,4.53784218,22.37057998,16.07833923
300.00000000,0.15818348,-0.91079771,4.53818719,22.37728865,16.08568388
300.00000000,0.15827949,-0.91045307,4.53853183,22.38407870,16.09319924
300.00000000,0.15837673,-0.91010866,4.53887624,22.39095316,16.10078452
300.00000000,0.15847524,-0.90976434,4.53922056,22.39791550,16.10835055
300.00000000,0.15857507,-0.90941995,4.53956495,22.40496956,16.11590581
300.00000000,0.15867630,-0.90907532,4.53990958,22.41211952,16.12354325
300.00000000,0.15877898,-0.90873026,4.54025464,22.41936988,16.13147375
300.00000000,0.15888318,-0.90838459,4.54060031,22.42672542,16.13939166
300.00000000,0.15898898,-0.90803809,4.54094681,22.43419116,16.14729871
300.00000000,0.15909646,-0.90769056,4.54129434,22.44177230,16.15519665
300.00000000,0.15920568,-0.90734178,4.54164312,22.44947425,16.16308725
300.00000000,0.15931673,-0.90699153,4.54199337,22.45730252,16.17097227
300.00000000,0.15942969,-0.90663957,4.54234533,22.46526274,16.17885345
300.00000000,0.15954465,-0.90628568,4.54269922,22.47336058,16.18673245
300.00000000,0.15966168,-0.90592962,4.54305527,22.48160175,16.19461085
300.00000000,0.15978088,-0.90557116,4.54341374,22.48999195,16.20249014
300.00000000,0.15990232,-0.90521006,4.54377484,22.49853681,16.21037168
300.00000000,0.16002608,-0.90484609,4.54413881,22.50724192,16.21837587
300.00000000,0.16015225,-0.90447901,4.54450589,22.51611270,16.22656126
300.00000000,0.16028090,-0.90410859,4.54487631,22.52515444,16.23475834
300.00000000,0.16041210,-0.90373461,4.54525028,22.53437224,16.24296801
300.00000000,0.16054594,-0.90335686,4.54562804,22.54377095,16.25119095
300.00000000,0.16068248,-0.90297512,4.54600978,22.55335518,16.25953792
300.00000000,0.16082178,-0.90258918,4.54639572,22.56312922,16.26797090
300.00000000,0.16096391,-0.90219885,4.54678604,22.57309701,16.27711912
300.00000000,0.16110891,-0.90180395,4.54718094,22.58326213,16.28629194
300.00000000,0.16125684,-0.90140431,4.54758059,22.59362773,16.29548917
300.00000000,0.16140774,-0.90099976,4.54798513,22.60419651,16.30471036
300.00000000,0.16156164,-0.90059017,4.54839473,22.61497068,16.31395482
300.00000000,0.16171858,-0.90017540,4.54880950,22.62595190,16.32322160
300.00000000,0.16187857,-0.89975534,4.54922956,22.63714128,16.33250948
300.00000000,0.16204163,-0.89932990,4.54965500,22.64853930,16.34198228
300.00000000,0.16220775,-0.89889900,4.55008589,22.66014582,16.35171875
300.00000000,0.16237693,-0.89846260,4.55052229,22.67195998,16.36166657
300.00000000,0.16254916,-0.89802067,4.55096423,22.68398021,16.37164018
300.00000000,0.16272439,-0.89757320,4.55141170,22.69620419,16.38163031
300.00000000,0.16290260,-0.89712021,4.55186469,22.70862878,16.39181188
300.00000000,0.16308373,-0.89666175,4.55232314,22.72125002,16.40203971
300.00000000,0.16326772,-0.89619790,4.55278699,22.73406308,16.41227633
300.00000000,0.16345448,-0.89572877,4.55325613,22.74706225,16.42268374
300.00000000,0.16364393,-0.89525448,4.55373041,22.76024090,16.43344479
300.00000000,0.16383597,-0.89477522,4.55420968,22.77359143,16.44422710
300.00000000,0.16403047,-0.89429117,4.55469372,22.78710531,16.45502547
300.00000000,0.16422730,-0.89380259,4.55518231,22.80077303,16.46583431
300.00000000,0.16442631,-0.89330972,4.55567518,22.81458410,16.47664764
300.00000000,0.16462735,-0.89281288,4.55617201,22.82852702,16.48754340
300.00000000,0.16483023,-0.89231241,4.55667248,22.84258936,16.49890494
300.00000000,0.16503477,-0.89180868,4.55717622,22.85675768,16.51043824
300.00000000,0.16524076,-0.89130209,4.55768281,22.87101764,16.52194786
300.00000000,0.16544798,-0.89079309,4.55819181,22.88535395,16.53342487
300.00000000,0.16565620,-0.89028214,4.55870275,22.89975045,16.54515877
300.00000000,0.16586518,-0.88976976,4.55921514,22.91419015,16.55686596
300.00000000,0.16607466,-0.88925648,4.55972842,22.92865527,16.56849968
300.00000000,0.16628437,-0.88874285,4.56024205,22.94312731,16.58004896
300.00000000,0.16649404,-0.88822947,4.56075542,22.95758709,16.59150246
300.00000000,0.16670337,-0.88771696,4.56126794,22.97201485,16.60284851
300.00000000,0.16691208,-0.88720595,4.56177895,22.98639032,16.61407508
300.00000000,0.16711985,-0.88669709,4.56228781,23.00069278,16.62516984
300.00000000,0.16732639,-0.88619105,4.56279385,23.01490115,16.63612022
300.00000000,0.16753137,-0.88568852,4.56329638,23.02899410,16.64691336
300.00000000,0.16773449,-0.88519020,4.56379470,23.04295010,16.65753623
300.00000000,0.16793542,-0.88469679,4.56428810,23.05674753,16.66803875
300.00000000,0.16813384,-0.88420900,4.56477589,23.07036476,16.67839210
300.00000000,0.16832944,-0.88372754,4.56525735,23.08378024,16.68853742
300.00000000,0.16852189,-0.88325313,4.56573177,23.09697263,16.69846085
300.00000000,0.16871089,-0.88278645,4.56619845,23.10992081,16.70814855
300.00000000,0.16889613,-0.88232822,4.56665668,23.12260405,16.71758682
300.00000000,0.16907729,-0.88187912,4.56710578,23.13500208,16.72676212
300.00000000,0.16925410,-0.88143981,4.56754509,23.14709518,16.73566119
300.00000000,0.16942626,-0.88101095,4.56797395,23.15886431,16.74427115
300.00000000,0.16959349,-0.88059317,4.56839172,23.17029118,16.75263151
300.00000000,0.16975554,-0.88018708,4.56879782,23.18135839,16.76112015
300.00000000,0.16991216,-0.87979324,4.56919166,23.19204953,16.76928846
300.00000000,0.17006311,-0.87941219,4.56957271,23.20234926,16.77712546
300.00000000,0.17020818,-0.87904443,4.56994046,23.21224350,16.78482574
300.00000000,0.17034718,-0.87869043,4.57029447,23.22171947,16.79219295
300.00000000,0.17047993,-0.87835058,4.57063431,23.23076582,16.79919238
300.00000000,0.17060628,-0.87802526,4.57095964,23.23937276,16.80581678
300.00000000,0.17072610,-0.87771476,4.57127014,23.24753213,16.81206019
300.00000000,0.17083929,-0.87741934,4.57156556,23.25523747,16.81791798
300.00000000,0.17094578,-0.87713918,4.57184571,23.26248415,16.82373835
300.00000000,0.17104552,-0.87687442,4.57211048,23.26926938,16.82932323
300.00000000,0.17113849,-0.87662512,4.57235978,23.27559227,16.83451011
300.00000000,0.17122469,-0.87639127,4.57259363,23.28145389,16.83929948
300.00000000,0.17130418,-0.87617282,4.57281208,23.28685721,16.84369338
300.00000000,0.17137702,-0.87596962,4.57301528,23.29180714,16.84775542
300.00000000,0.17144329,-0.87578149,4.57320340,23.29631050,16.85164211
300.00000000,0.17150313,-0.87560818,4.57337672,23.30037593,16.85544270
300.00000000,0.17155669,-0.87544935,4.57353555,23.30401386,16.85910322
300.00000000,0.17160414,-0.87530464,4.57368025,23.30723640,16.86268549
300.00000000,0.17164568,-0.87517363,4.57381127,23.31005723,16.86599579
300.00000000,0.17168153,-0.87505584,4.57392906,23.31249149,16.86894866
300.00000000,0.17171194,-0.87495074,4.57403416,23.31455566,16.87155651
300.00000000,0.17173715,-0.87485777,4.57412712,23.31626738,16.87383271
300.00000000,0.17175745,-0.87477635,4.57420855,23.31764533,16.87579140
300.00000000,0.17177312,-0.87470585,4.57427905,23.31870903,16.87764038
300.00000000,0.17178446,-0.87464561,4.57433929,23.31947873,16.87926184
300.00000000,0.17179178,-0.87459497,4.57438992,23.31997519,16.88070063
300.00000000,0.17179538,-0.87455326,4.57443163,23.32021955,16.88203249
300.00000000,0.17179558,-0.87451979,4.57446511,23.32023315,16.88312811
300.00000000,0.17179269,-0.87449386,4.57449104,23.32003737,16.88400362
300.00000000,0.17178704,-0.87447479,4.57451010,23.31965350,16.88467512
300.00000000,0.17177892,-0.87446191,4.57452298,23.31910254,16.88515848
300.00000000,0.17176865,-0.87445455,4.57453035,23.31840513,16.88546936
300.00000000,0.17175651,-0.87445206,4.57453284,23.31758138,16.88562300
300.00000000,0.17174280,-0.87445380,4.57453110,23.31665076,16.88563421
300.00000000,0.17172779,-0.87445917,4.57452573,23.31563199,16.88551727
300.00000000,0.17171175,-0.87446759,4.57451730,23.31454299,16.88528585
300.00000000,0.17169493,-0.87447851,4.57450639,23.31340074,16.88495298
300.00000000,0.17167755,-0.87449141,4.57449349,23.31222126,16.88453098
300.00000000,0.17165985,-0.87450578,4.57447912,23.31101951,16.88403143
300.00000000,0.17164203,-0.87452119,4.57446371,23.30980940,16.88346515
300.00000000,0.17162428,-0.87453719,4.57444770,23.30860374,16.88284216
300.00000000,0.17160676,-0.87455342,4.57443148,23.30741419,16.88217169
300.00000000,0.17158964,-0.87456950,4.57441540,23.30625130,16.88148743
300.00000000,0.17157305,-0.87458513,4.57439977,23.30512450,16.88106798
300.00000000,0.17155711,-0.87460002,4.57438488,23.30404210,16.88076047
300.00000000,0.17154193,-0.87461391,4.57437099,23.30301132,16.88046703
300.00000000,0.17152761,-0.87462659,4.57435831,23.30203832,16.88016409
300.00000000,0.17151421,-0.87463787,4.57434703,23.30112825,16.87985611
300.00000000,0.17150180,-0.87464759,4.57433731,23.30028528,16.87954684
300.00000000,0.17149043,-0.87465562,4.57432928,23.29951265,16.87923939
300.00000000,0.17148012,-0.87466186,4.57432304,23.29881273,16.87893625
300.00000000,0.17147091,-0.87466623,4.57431867,23.29818709,16.87863961
300.00000000,0.17146281,-0.87466867,4.57431623,23.29763651,16.87913553
300.00000000,0.17145581,-0.87466914,4.57431576,23.29716112,16.87968417
300.00000000,0.17144991,-0.87466764,4.57431726,23.29676039,16.88024368
300.00000000,0.17144510,-0.87466416,4.57432074,23.29643323,16.88081383
300.00000000,0.17144134,-0.87465872,4.57432617,23.29617807,16.88139406
300.00000000,0.17143862,-0.87465136,4.57433354,23.29599287,16.88198350
300.00000000,0.17143688,-0.87464211,4.57434279,23.29587521,16.88258101
300.00000000,0.17143611,-0.87463102,4.57435388,23.29582235,16.88318525
300.00000000,0.17143624,-0.87461817,4.57436673,23.29583129,16.88379466
300.00000000,0.17143723,-0.87460361,4.57438128,23.29589878,16.88440757
300.00000000,0.17143904,-0.87458743,4.57439747,23.29602141,16.88502217
300.00000000,0.17144160,-0.87456970,4.57441519,23.29619566,16.88563659
300.00000000,0.17144487,-0.87455051,4.57443438,23.29641788,16.88624889
300.00000000,0.17144879,-0.87452995,4.57445495,23.29668439,16.88685711
300.00000000,0.17145331,-0.87450809,4.57447680,23.29699149,16.88753808
300.00000000,0.17145838,-0.87448504,4.57449986,23.29733545,16.88835073
300.00000000,0.17146393,-0.87446087,4.57452403,23.29771260,16.88915616
300.00000000,0.17146992,-0.87443568,4.57454922,23.29811928,16.88995236
300.00000000,0.17147628,-0.87440955,4.57457534,23.29855192,16.89073739
300.00000000,0.17148298,-0.87438258,4.57460231,23.29900700,16.89150936
