# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.00112473,-1.38204113,7.19049001,42.88350793,29.19485575
300.00000000,0.00113729,-1.38726479,7.18526635,43.12230852,29.35044823
300.00000000,0.00115024,-1.39250013,7.18003102,43.36709307,29.50927387
300.00000000,0.00116357,-1.39774797,7.17478317,43.61760358,29.67115611
300.00000000,0.00117729,-1.40300843,7.16952272,43.87395055,29.83617202
300.00000000,0.00119141,-1.40828153,7.16424962,44.13629096,30.00442727
300.00000000,0.00120594,-1.41356753,7.15896361,44.40471870,30.17743079
300.00000000,0.00122090,-1.41886685,7.15366430,44.67928457,30.35473258
300.00000000,0.00123629,-1.42417992,7.14835123,44.96001825,30.53539400
300.00000000,0.00125212,-1.42950724,7.14302390,45.24694507,30.71958010
300.00000000,0.00126840,-1.43484935,7.13768180,45.54009540,30.90822035
300.00000000,0.00128513,-1.44020677,7.13232437,45.83950852,31.10094278
300.00000000,0.00130233,-1.44558008,7.12695107,46.14523437,31.29763614
300.00000000,0.00132001,-1.45096985,7.12156130,46.45733476,31.49799770
300.00000000,0.00133817,-1.45637669,7.11615446,46.77588464,31.70189344
300.00000000,0.00135684,-1.46180121,7.11072993,47.10097362,31.90938190
300.00000000,0.00137602,-1.46724406,7.10528709,47.43270779,32.12144771
300.00000000,0.00139573,-1.47270587,7.09982528,47.77121172,32.33772148
300.00000000,0.00141599,-1.47818729,7.09434386,48.11663051,32.55780139
300.00000000,0.00143681,-1.48368895,7.08884219,48.46913148,32.78179619
300.00000000,0.00145822,-1.48921150,7.08331965,48.82890518,33.00982888
300.00000000,0.00148024,-1.49475552,7.07777562,49.19616562,33.24203652
300.00000000,0.00150289,-1.50032162,7.07220953,49.57114948,33.47968370
300.00000000,0.00152620,-1.50591034,7.06662081,49.95411465,33.72244893
300.00000000,0.00155020,-1.51152220,7.06100895,50.34533813,33.96990514
300.00000000,0.00157491,-1.51715771,7.05537344,50.74511336,34.22249095
300.00000000,0.00160038,-1.52281732,7.04971382,51.15374725,34.48034724
300.00000000,0.00162663,-1.52850149,7.04402966,51.57155690,34.74422744
300.00000000,0.00165370,-1.53421061,7.03832053,51.99886623,35.01461286
300.00000000,0.00168162,-1.53994509,7.03258606,52.43600273,35.29125654
300.00000000,0.00171043,-1.54570527,7.02682588,52.88329437,35.57703807
300.00000000,0.00174017,-1.55149147,7.02103967,53.34106683,35.86978580
300.00000000,0.00177088,-1.55730399,7.01522716,53.80964101,36.17124293
300.00000000,0.00180259,-1.56314306,7.00938808,54.28933070,36.48142864
300.00000000,0.00183535,-1.56900890,7.00352224,54.78044037,36.79836696
300.00000000,0.00186920,-1.57490166,6.99762948,55.28326299,37.12223605
300.00000000,0.00190418,-1.58082144,6.99170971,55.79807780,37.45448171
300.00000000,0.00194032,-1.58676828,6.98576286,56.32514810,37.79983985
300.00000000,0.00197767,-1.59274218,6.97978897,56.86471900,38.15581177
300.00000000,0.00201627,-1.59874303,6.97378811,57.41701512,38.52017245
300.00000000,0.00205617,-1.60477070,6.96776045,57.98223845,38.89235190
300.00000000,0.00209739,-1.61082494,6.96170621,58.56056615,39.27245436
300.00000000,0.00213998,-1.61690544,6.95562570,59.15214852,39.66056612
300.00000000,0.00218397,-1.62301182,6.94951932,59.75710705,40.05675430
300.00000000,0.00222941,-1.62914359,6.94338756,60.37553259,40.46106580
