# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.08844614,-1.20439663,7.36813452,380.28153207,275.08187020
300.00000000,0.08421645,-1.22574153,7.34678962,371.07718965,266.76762654
300.00000000,0.08020045,-1.24632775,7.32620340,362.12139793,259.01880793
300.00000000,0.07643558,-1.26594867,7.30658248,353.51965819,251.86117413
300.00000000,0.07296367,-1.28436946,7.28816168,345.39745715,244.99978018
300.00000000,0.06981948,-1.30138363,7.27114751,337.87348244,238.27864180
300.00000000,0.06702371,-1.31684966,7.25568149,331.03965361,232.00276744
300.00000000,0.06458162,-1.33070095,7.24183020,324.95278689,226.14066822
300.00000000,0.06248234,-1.34295306,7.22957809,319.62772499,221.07511668
300.00000000,0.06070048,-1.35369871,7.21883243,315.03722257,216.82844212
300.00000000,0.05919993,-1.36309120,7.20943995,311.11891213,213.74904015
300.00000000,0.05793929,-1.37131783,7.20121332,307.78850625,211.19159312
300.00000000,0.05687706,-1.37857330,7.19395785,304.95401595,208.90024600
300.00000000,0.05597524,-1.38504006,7.18749108,302.52676080,207.02037129
300.00000000,0.05520128,-1.39087724,7.18165390,300.42798196,205.53196566
300.00000000,0.05452852,-1.39621657,7.17631457,298.59164610,204.34172645
300.00000000,0.05393588,-1.40116299,7.17136815,296.96460787,203.25442485
300.00000000,0.05340708,-1.40579784,7.16673331,295.50526348,202.26493982
300.00000000,0.05292969,-1.41018300,7.16234815,294.18158101,201.38006356
300.00000000,0.05249429,-1.41436503,7.15816612,292.96909689,200.54586430
300.00000000,0.05209372,-1.41837865,7.15415249,291.84918183,199.72830818
300.00000000,0.05172257,-1.42224958,7.15028157,290.80765888,198.97904863
300.00000000,0.05137671,-1.42599664,7.14653451,289.83373378,198.37912448
300.00000000,0.05105298,-1.42963346,7.14289768,288.91916081,197.76628315
300.00000000,0.05074894,-1.43316988,7.13936127,288.05757859,197.19856556
300.00000000,0.05046267,-1.43661296,7.13591819,287.24397531,196.64524871
300.00000000,0.05019259,-1.43996795,7.13256319,286.47426219,196.14076278
300.00000000,0.04993735,-1.44323895,7.12929219,285.74494258,195.69862420
300.00000000,0.04969575,-1.44642946,7.12610169,285.05286576,195.27623662
300.00000000,0.04946665,-1.44954276,7.12298839,284.39505226,194.89451007
300.00000000,0.04924895,-1.45258220,7.11994895,283.76857648,194.55335242
300.00000000,0.04904157,-1.45555139,7.11697975,283.17049235,194.20794227
300.00000000,0.04885267,-1.45840117,7.11412998,282.62458550,193.87839736
300.00000000,0.04870664,-1.46098443,7.11154672,282.20187357,193.61506652
300.00000000,0.04856097,-1.46354240,7.10898874,281.77956225,193.35079299
300.00000000,0.04841618,-1.46607191,7.10645924,281.35914766,193.08355439
300.00000000,0.04827204,-1.46857390,7.10395725,280.94004231,192.81012626
300.00000000,0.04812812,-1.47105102,7.10148012,280.52092088,192.54747943
300.00000000,0.04798381,-1.47350710,7.09902405,280.10002656,192.28266046
300.00000000,0.04783838,-1.47594690,7.09658425,279.67525791,192.00926646
300.00000000,0.04769104,-1.47837611,7.09415503,279.24421943,191.73123587
300.00000000,0.04754087,-1.48080134,7.09172980,278.80423075,191.44638828
300.00000000,0.04738688,-1.48323015,7.08930100,278.35231324,191.14861947
300.00000000,0.04722795,-1.48567115,7.08686000,277.88516233,190.84243657
300.00000000,0.04706288,-1.48813414,7.08439700,277.39910771,190.53248287
300.00000000,0.04689031,-1.49063026,7.08190089,276.89006048,190.23143377
300.00000000,0.04670874,-1.49317212,7.07935903,276.35344445,189.92010955
300.00000000,0.04651648,-1.49577412,7.07675702,275.78410780,189.61552517
300.00000000,0.04631164,-1.49845272,7.07407842,275.17621055,189.28860562
300.00000000,0.04612708,-1.50098057,7.07155057,274.62735075,189.01120412
300.00000000,0.04592631,-1.50361305,7.06891809,274.02904208,188.70715228
300.00000000,0.04569591,-1.50645105,7.06608009,273.34079720,188.37241053
300.00000000,0.04543480,-1.50950991,7.06302123,272.55874473,187.99855014
300.00000000,0.04514034,-1.51281705,7.05971409,271.67407636,187.55446476
300.00000000,0.04485491,-1.51606927,7.05646188,270.81381425,187.11923033
300.00000000,0.04453166,-1.51961546,7.05291568,269.83621913,186.60299996
300.00000000,0.04420252,-1.52322457,7.04930658,268.83717415,186.07849342
300.00000000,0.04381970,-1.52726249,7.04526866,267.67048449,185.42262689
300.00000000,0.04339920,-1.53161703,7.04091412,266.38309084,184.65735518
300.00000000,0.04295915,-1.53615766,7.03637348,265.02915887,183.85572686
300.00000000,0.04247541,-1.54107859,7.03145256,263.53275700,182.91492571
300.00000000,0.04191084,-1.54668257,7.02584857,261.77548016,181.78869885
300.00000000,0.04123471,-1.55323488,7.01929627,259.65533851,180.40841681
300.00000000,0.04056903,-1.55978274,7.01274841,257.55093378,178.99603335
300.00000000,0.03980829,-1.56717972,7.00535143,255.12473189,177.30586452
300.00000000,0.03898265,-1.57519814,6.99733301,252.46518817,175.43431477
300.00000000,0.03804671,-1.58422334,6.98830780,249.41603616,173.32351814
300.00000000,0.03711191,-1.59336963,6.97916152,246.33293373,171.45988608
300.00000000,0.03630189,-1.60161587,6.97091527,243.62981303,169.97453685
300.00000000,0.03533841,-1.61125390,6.96127724,240.37500983,168.19777528
300.00000000,0.03430485,-1.62161490,6.95091625,236.83373087,166.26411588
300.00000000,0.03325052,-1.63229484,6.94023631,233.16588467,164.08914792
300.00000000,0.03228090,-1.64240745,6.93012370,229.74105929,161.99214864
300.00000000,0.03135587,-1.65227938,6.92025177,226.42543517,159.78713945
300.00000000,0.03044414,-1.66216904,6.91036211,223.10927683,157.50762583
300.00000000,0.02951395,-1.67234359,6.90018755,219.67441242,155.15760440
300.00000000,0.02854240,-1.68300180,6.88952935,216.02849946,152.70774208
300.00000000,0.02761435,-1.69343187,6.87909927,212.48743200,150.41131242
300.00000000,0.02681235,-1.70293822,6.86959293,209.37904598,148.37275872
300.00000000,0.02594607,-1.71314689,6.85938426,205.96886025,146.05092511
300.00000000,0.02504915,-1.72377363,6.84875752,202.37753827,143.57263329
300.00000000,0.02419962,-1.73415401,6.83837713,198.91617864,141.16671198
300.00000000,0.02336818,-1.74453581,6.82799534,195.46915116,138.89756785
300.00000000,0.02251014,-1.75530003,6.81723111,191.84693615,136.43013197
