# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.02111317,-1.49084325,7.08168790,185.79864835,123.23436098
300.00000000,0.02123451,-1.49445520,7.07807595,186.33179131,123.61093960
300.00000000,0.02135209,-1.49805555,7.07447559,186.84692863,123.96945518
300.00000000,0.02146391,-1.50165105,7.07088009,187.33557481,124.30507058
300.00000000,0.02156930,-1.50524449,7.06728665,187.79491402,124.61870103
300.00000000,0.02166762,-1.50883851,7.06369264,188.22245853,124.91233859
300.00000000,0.02175760,-1.51243814,7.06009301,188.61286759,125.18036725
300.00000000,0.02183741,-1.51605065,7.05648050,188.95846869,125.42221823
300.00000000,0.02190497,-1.51968463,7.05284651,189.25052436,125.62933252
300.00000000,0.02195824,-1.52334899,7.04918216,189.48052219,125.79489378
300.00000000,0.02199550,-1.52705199,7.04547916,189.64120875,125.91874228
300.00000000,0.02201542,-1.53080075,7.04173039,189.72705584,126.00267288
300.00000000,0.02201708,-1.53460118,7.03792996,189.73419840,126.03583326
300.00000000,0.02199990,-1.53845802,7.03407313,189.66017869,126.01680792
300.00000000,0.02196363,-1.54237490,7.03015624,189.50376634,125.94477125
300.00000000,0.02190830,-1.54635436,7.02617679,189.26491146,125.81944891
300.00000000,0.02183424,-1.55039766,7.02213349,188.94476300,125.64113126
300.00000000,0.02174210,-1.55450480,7.01802634,188.54567850,125.41069470
300.00000000,0.02163281,-1.55867447,7.01385668,188.07118939,125.12960863
300.00000000,0.02150755,-1.56290408,7.00962707,187.52591366,124.80000276
300.00000000,0.02136774,-1.56718990,7.00534124,186.91542506,124.42833736
300.00000000,0.02121499,-1.57152722,7.00100393,186.24609608,124.02740368
300.00000000,0.02105101,-1.57591045,6.99662070,185.52493206,123.60535243
300.00000000,0.02087765,-1.58033339,6.99219776,184.75940849,123.16251719
300.00000000,0.02069677,-1.58478932,6.98774182,183.95731856,122.72405426
300.00000000,0.02051027,-1.58927124,6.98325990,183.12663338,122.26408283
300.00000000,0.02032003,-1.59377196,6.97875918,182.27537390,121.78392229
300.00000000,0.02012788,-1.59828428,6.97424687,181.41149193,121.29405460
300.00000000,0.01993556,-1.60280108,6.96973007,180.54275702,120.79342091
300.00000000,0.01974475,-1.60731549,6.96521566,179.67664614,120.28507153
300.00000000,0.01955698,-1.61182098,6.96071017,178.82023449,119.77855521
300.00000000,0.01937364,-1.61631145,6.95621970,177.98008688,119.28198811
300.00000000,0.01919598,-1.62078133,6.95174982,177.16215029,118.78979431
300.00000000,0.01902506,-1.62522569,6.94730546,176.37164999,118.30625793
300.00000000,0.01886174,-1.62964029,6.94289085,175.61299234,117.84268523
300.00000000,0.01870668,-1.63402168,6.93850947,174.88967923,117.41485760
300.00000000,0.01856034,-1.63836719,6.93416396,174.20423969,117.00434663
300.00000000,0.01842293,-1.64267504,6.92985611,173.55818485,116.61195001
300.00000000,0.01829446,-1.64694431,6.92558683,172.95199158,116.23883686
300.00000000,0.01817473,-1.65117496,6.92135619,172.38511832,115.88548806
300.00000000,0.01806334,-1.65536776,6.91716339,171.85605419,115.55854327
300.00000000,0.01795972,-1.65952430,6.91300684,171.36239962,115.25138341
300.00000000,0.01786313,-1.66364689,6.90888426,170.90097446,114.96091544
