# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.04133206,-1.41734359,7.15518756,259.96166317,182.22552831
300.00000000,0.04087334,-1.42214999,7.15038116,258.51507939,181.12110259
300.00000000,0.04040608,-1.42701830,7.14551285,257.03317687,179.95776392
300.00000000,0.03993012,-1.43195044,7.14058071,255.51481063,178.74221895
300.00000000,0.03944530,-1.43694824,7.13558291,253.95889789,177.46758322
300.00000000,0.03895155,-1.44201337,7.13051778,252.36443787,176.14654501
300.00000000,0.03844881,-1.44714732,7.12538383,250.73053356,174.75782440
300.00000000,0.03793708,-1.45235135,7.12017980,249.05641574,173.31514651
300.00000000,0.03741642,-1.45762646,7.11490469,247.34146943,171.82086660
300.00000000,0.03688697,-1.46297332,7.10955783,245.58526306,170.30665728
300.00000000,0.03634892,-1.46839222,7.10413893,243.78758057,168.78430467
300.00000000,0.03580256,-1.47388304,7.09864810,241.94845693,167.21565460
300.00000000,0.03524826,-1.47944516,7.09308598,240.06821702,165.60418226
300.00000000,0.03468650,-1.48507741,7.08745374,238.14751814,163.93382598
300.00000000,0.03411786,-1.49077798,7.08175317,236.18739549,162.22981052
300.00000000,0.03354305,-1.49654441,7.07598673,234.18930959,160.46230360
300.00000000,0.03296288,-1.50237350,7.07015765,232.15519386,158.64583011
300.00000000,0.03237833,-1.50826124,7.06426990,230.08749936,156.83356741
300.00000000,0.03179048,-1.51420282,7.05832833,227.98923296,155.01255219
300.00000000,0.03120056,-1.52019257,7.05233857,225.86398455,153.15742384
300.00000000,0.03060992,-1.52622402,7.04630712,223.71593867,151.34447304
300.00000000,0.03002005,-1.53228990,7.04024124,221.54986641,149.52823023
300.00000000,0.02943250,-1.53838225,7.03414889,219.37109447,147.68578100
300.00000000,0.02884894,-1.54449253,7.02803862,217.18544946,145.83030491
300.00000000,0.02827105,-1.55061174,7.02191940,214.99917749,144.01477106
300.00000000,0.02770056,-1.55673066,7.01580048,212.81883981,142.34777918
300.00000000,0.02713915,-1.56284000,7.00969115,210.65118663,140.73038920
300.00000000,0.02658845,-1.56893062,7.00360053,208.50301202,139.12151608
300.00000000,0.02605000,-1.57499378,6.99753736,206.38099405,137.52283678
300.00000000,0.02552520,-1.58102135,6.99150980,204.29152705,135.96669122
300.00000000,0.02501525,-1.58700597,6.98552518,202.24055690,134.46469061
300.00000000,0.02452119,-1.59294125,6.97958989,200.23343512,133.02798071
300.00000000,0.02404382,-1.59882186,6.97370929,198.27481039,131.67207671
300.00000000,0.02358372,-1.60464350,6.96788765,196.36857341,130.41137374
300.00000000,0.02314128,-1.61040290,6.96212824,194.51786188,129.18802246
300.00000000,0.02271669,-1.61609771,6.95643344,192.72511889,128.04462220
300.00000000,0.02231000,-1.62172627,6.95080487,190.99218664,126.94541913
300.00000000,0.02192115,-1.62728755,6.94524360,189.32041280,125.91739875
300.00000000,0.02154997,-1.63278091,6.93975023,187.71074970,124.93403573
300.00000000,0.02119625,-1.63820607,6.93432508,186.16383433,123.97995105
300.00000000,0.02085971,-1.64356295,6.92896819,184.68004469,123.06456108
300.00000000,0.02054005,-1.64885168,6.92367947,183.25953424,122.21542129
300.00000000,0.02023693,-1.65407252,6.91845863,181.90224870,121.40186704
300.00000000,0.01994996,-1.65922585,6.91330529,180.60793064,120.63153246
300.00000000,0.01967876,-1.66431222,6.90821893,179.37611668,119.89433355
300.00000000,0.01942288,-1.66933226,6.90319889,178.20613130,119.17718828
300.00000000,0.01918188,-1.67428675,6.89824440,177.09708006,118.50682204
300.00000000,0.01895526,-1.67917660,6.89335455,176.04784427,117.87152001
300.00000000,0.01874251,-1.68400286,6.88852829,175.05707835,117.26550832
300.00000000,0.01854307,-1.68876671,6.88376443,174.12321045,116.68759163
300.00000000,0.01835638,-1.69346949,6.87906165,173.24444660,116.13231842
300.00000000,0.01818183,-1.69811266,6.87441849,172.41877833,115.60106524
300.00000000,0.01801879,-1.70269782,6.86983332,171.64399357,115.10163580
300.00000000,0.01786662,-1.70722672,6.86530443,170.91769040,114.64068360
300.00000000,0.01772466,-1.71170123,6.86082992,170.23729339,114.20648233
300.00000000,0.01759221,-1.71612335,6.85640780,169.60007211,113.79375563
300.00000000,0.01746860,-1.72049522,6.85203593,169.00316152,113.40533788
300.00000000,0.01735311,-1.72481909,6.84771206,168.44358385,113.04353627
300.00000000,0.01724504,-1.72909733,6.84343381,167.91827197,112.69956226
300.00000000,0.01714369,-1.73333243,6.83919872,167.42409375,112.37211190
300.00000000,0.01704835,-1.73752695,6.83500419,166.95787759,112.05972067
300.00000000,0.01695831,-1.74168357,6.83084758,166.51643880,111.76079178
300.00000000,0.01687291,-1.74580501,6.82672614,166.09660684,111.47909687
300.00000000,0.01679146,-1.74989406,6.82263709,165.69525321,111.20775904
300.00000000,0.01671333,-1.75395353,6.81857762,165.30932004,110.94432093
300.00000000,0.01663790,-1.75798623,6.81454491,164.93584892,110.68700068
300.00000000,0.01656458,-1.76199496,6.81053618,164.57200999,110.44101947
300.00000000,0.01649281,-1.76598244,6.80654871,164.21513059,110.19955489
300.00000000,0.01642210,-1.76995129,6.80257986,163.86272323,109.95892099
300.00000000,0.01635198,-1.77390400,6.79862714,163.51251208,109.71760943
300.00000000,0.01628204,-1.77784290,6.79468825,163.16245731,109.47422462
300.00000000,0.01621193,-1.78177006,6.79076108,162.81077640,109.22920817
300.00000000,0.01614134,-1.78568736,6.78684378,162.45596166,108.98296711
300.00000000,0.01607005,-1.78959636,6.78293479,162.09679296,108.73138355
300.00000000,0.01599787,-1.79349831,6.77903283,161.73234518,108.47611522
300.00000000,0.01592469,-1.79739417,6.77513698,161.36198958,108.21734333
300.00000000,0.01585044,-1.80128453,6.77124662,160.98538898,107.95165092
300.00000000,0.01577513,-1.80516965,6.76736150,160.60248667,107.68174490
300.00000000,0.01569880,-1.80904946,6.76348169,160.21348934,107.40546673
300.00000000,0.01562156,-1.81292359,6.75960756,159.81884447,107.12237781
300.00000000,0.01554353,-1.81679134,6.75573980,159.41921323,106.83283724
300.00000000,0.01546490,-1.82065179,6.75187935,159.01543951,106.53801245
300.00000000,0.01538585,-1.82450377,6.74802737,158.60851640,106.23855703
300.00000000,0.01530661,-1.82834593,6.74418522,158.19955104,105.93457855
300.00000000,0.01522740,-1.83217677,6.74035437,157.78972896,105.62691937
300.00000000,0.01514848,-1.83599471,6.73653643,157.38027883,105.31648838
300.00000000,0.01507007,-1.83979810,6.73273305,156.97243849,105.00817821
300.00000000,0.01499240,-1.84358527,6.72894588,156.56742305,104.70270815
300.00000000,0.01491570,-1.84735461,6.72517654,156.16639561,104.39844895
300.00000000,0.01484016,-1.85110454,6.72142661,155.77044109,104.09887721
300.00000000,0.01476596,-1.85483360,6.71769755,155.38054366,103.80104964
300.00000000,0.01469326,-1.85854045,6.71399069,154.99756788,103.50741906
300.00000000,0.01462219,-1.86222392,6.71030723,154.62224387,103.21815285
300.00000000,0.01455284,-1.86588299,6.70664816,154.25515651,102.93277400
300.00000000,0.01448529,-1.86951683,6.70301432,153.89673873,102.65221410
300.00000000,0.01441958,-1.87312482,6.69940632,153.54726877,102.37987951
300.00000000,0.01435572,-1.87670655,6.69582460,153.20687131,102.11248398
300.00000000,0.01429369,-1.88026178,6.69226937,152.87552214,101.85017074
300.00000000,0.01423345,-1.88379049,6.68874066,152.55305622,101.59296815
300.00000000,0.01417494,-1.88729286,6.68523829,152.23917871,101.34391997
300.00000000,0.01411807,-1.89076923,6.68176192,151.93347851,101.10056777
300.00000000,0.01406274,-1.89422010,6.67831105,151.63544403,100.87119361
300.00000000,0.01400882,-1.89764613,6.67488502,151.34448053,100.65006372
300.00000000,0.01395619,-1.90104808,6.67148307,151.05992864,100.43745552
300.00000000,0.01390472,-1.90442682,6.66810433,150.78108360,100.22894197
300.00000000,0.01385425,-1.90778329,6.66474786,150.50721459,100.02275091
300.00000000,0.01380466,-1.91111846,6.66141268,150.23758377,99.81840475
300.00000000,0.01375579,-1.91443334,6.65809781,149.97146447,99.61541931
300.00000000,0.01370753,-1.91772891,6.65480223,149.70815822,99.41331736
300.00000000,0.01365975,-1.92100613,6.65152502,149.44701011,99.21468842
300.00000000,0.01361234,-1.92426589,6.64826526,149.18742215,99.01828527
300.00000000,0.01356520,-1.92750901,6.64502214,148.92886451,98.82148828
300.00000000,0.01351824,-1.93073621,6.64179494,148.67088419,98.62547777
300.00000000,0.01347141,-1.93394810,6.63858305,148.41311116,98.43137934
300.00000000,0.01342464,-1.93714516,6.63538599,148.15526194,98.23714864
300.00000000,0.01337790,-1.94032774,6.63220340,147.89714046,98.04171560
300.00000000,0.01333118,-1.94349608,6.62903506,147.63863643,97.84526030
300.00000000,0.01328446,-1.94665026,6.62588088,147.37972151,97.66078465
300.00000000,0.01323776,-1.94979025,6.62274090,147.12044318,97.47602511
300.00000000,0.01319110,-1.95291588,6.61961526,146.86091695,97.29166821
300.00000000,0.01314450,-1.95602691,6.61650424,146.60131705,97.10870443
300.00000000,0.01309802,-1.95912298,6.61340817,146.34186605,96.92618604
300.00000000,0.01305169,-1.96220366,6.61032748,146.08282368,96.74305146
300.00000000,0.01300557,-1.96526848,6.60726267,145.82447539,96.56646939
300.00000000,0.01295970,-1.96831690,6.60421425,145.56712094,96.39704656
300.00000000,0.01291415,-1.97134839,6.60118276,145.31106338,96.22727471
300.00000000,0.01286896,-1.97436239,6.59816875,145.05659871,96.05736373
300.00000000,0.01282418,-1.97735839,6.59517276,144.80400658,95.88751825
300.00000000,0.01277985,-1.98033588,6.59219527,144.55354224,95.71924048
300.00000000,0.01273602,-1.98329440,6.58923675,144.30542983,95.55965922
300.00000000,0.01269271,-1.98623356,6.58629759,144.05985727,95.40262777
300.00000000,0.01264995,-1.98915302,6.58337813,143.81697270,95.24622570
300.00000000,0.01260775,-1.99205252,6.58047863,143.57688254,95.09113551
300.00000000,0.01256612,-1.99493187,6.57759928,143.33965110,94.93709804
300.00000000,0.01252506,-1.99779094,6.57474021,143.10530168,94.78389947
300.00000000,0.01248457,-2.00062970,6.57190145,142.87381897,94.63156382
300.00000000,0.01244464,-2.00344816,6.56908298,142.64515264,94.48009170
300.00000000,0.01240525,-2.00624642,6.56628473,142.41922180,94.32946268
300.00000000,0.01236638,-2.00902460,6.56350654,142.19592034,94.17963807
300.00000000,0.01232801,-2.01178290,6.56074825,141.97512256,94.03056428
300.00000000,0.01229010,-2.01452152,6.55800963,141.75668929,93.88217652
300.00000000,0.01225264,-2.01724070,6.55529045,141.54047380,93.73440261
300.00000000,0.01221559,-2.01994070,6.55259045,141.32632772,93.58716685
300.00000000,0.01217893,-2.02262176,6.54990939,141.11410639,93.44039375
300.00000000,0.01214264,-2.02528412,6.54724702,140.90367376,93.29401144
300.00000000,0.01210668,-2.02792802,6.54460313,140.69490652,93.14795481
